21028092
/m/05b0y2t
/m/05b0y2t
Wendy Coakley-Thompson

2004 1
2005 1
a 14
able 1
acute 1
affair 1
affection 1
after 2
afterwards 1
agrees 1
ahead 1
ally 15
allys 2
almost 1
an 2
and 15
angry 1
anniversary 2
appears 1
arrive 1
as 5
at 6
attraction 2
away 2
bahamas 2
balks 1
begin 1
begs 1
between 2
both 1
brain 1
called 1
cancer 1
cannot 1
care 2
career 1
celebrate 1
children 1
collapses 1
come 1
comfortable 1
coming 1
confess 1
confirm 1
connected 1
cousin 3
crashes 1
date 2
dated 2
daughter 1
days 1
death 1
despite 1
determined 1
diagnose 1
die 1
died 2
disastrous 1
doctors 2
dogs 1
dying 2
each 1
efforts 1
engagement 1
enough 1
evolve 1
expresses 1
family 4
fatal 1
father 1
feelings 2
feels 3
fifteen 1
filled 1
fills 1
first 2
flash 1
folds 1
for 4
friends 2
from 1
frustrated 1
frustration 1
go 2
gone 2
grown 1
guilt 1
guiltridden 1
had 1
hammock 1
harbour 4
has 4
have 1
he 10
heart 1
helplessly 1
her 9
him 6
his 8
home 3
hospital 1
how 1
however 1
impotent 1
in 11
inoperable 1
instincts 1
into 1
is 6
island 5
it 2
jersey 1
jonathan 8
jonathans 5
june 1
last 1
learns 1
letters 1
lives 1
love 2
loved 1
make 1
makes 3
medical 1
members 1
needs 1
new 1
not 1
of 7
office 1
on 1
one 1
ones 1
opens 1
order 1
other 1
out 1
overjoyed 1
party 4
passes 2
peace 2
place 1
position 1
progression 1
proposition 1
protect 1
rapid 1
realize 1
recent 1
refuse 1
rejection 1
remembrance 1
removes 1
rendered 1
renewed 1
retreats 1
revisits 1
rings 1
rush 1
sabbatical 1
search 1
second 2
see 1
seeing 1
seizure 1
senses 1
series 1
seventeen 1
sexual 3
she 7
slowly 1
socalled 1
still 3
stores 1
succumb 1
suffers 1
suggesting 1
suggests 1
summer 1
surgeons 1
surprised 1
suspicions 1
symptoms 1
take 1
taken 2
takes 1
teaching 1
tell 1
tenth 1
terri 2
that 3
the 15
their 3
they 3
those 1
thought 1
tim 17
time 1
tims 2
to 18
treated 1
treatments 2
trepidation 1
triptych 1
tumor 1
two 1
unorthodox 1
up 1
upset 1
vacation 1
valiant 1
views 1
vigor 1
visibly 1
was 1
watches 1
wedding 1
what 1
when 2
where 2
which 1
while 1
who 1
widower 1
wishing 1
with 5
without 1
writes 1
year 1
