17468324
/m/047bb11
/m/047bb11
Monica Hughes
1999-08-19
{"/m/06n90": "Science Fiction", "/m/014dfn": "Speculative fiction", "/m/03mfnf": "Young adult literature"}
16yearold 1
8 1
a 8
about 1
accept 1
accepted 1
adapt 1
against 1
age 2
alison 13
all 1
also 2
among 1
an 1
and 13
approve 1
are 4
as 5
at 2
bay 1
because 2
become 2
been 1
behind 1
believes 1
besides 1
botany 1
both 1
brother 1
but 3
calling 1
catches 2
child 1
children 5
colony 1
community 1
crime 1
day 1
died 1
differently 1
dinner 1
discovers 1
do 1
does 1
dreams 1
each 1
eating 1
everyone 2
existed 1
fairweather 2
familiar 1
family 2
find 2
finding 1
finds 1
first 1
five 1
follow 1
follows 1
for 2
forced 1
friend 1
from 1
future 1
go 1
gordie 3
government 1
habitat 1
habitats 1
had 1
has 2
having 1
he 4
her 5
him 1
his 1
home 1
homes 1
idea 1
in 10
inhabitants 3
into 1
is 4
jay 11
kristin 6
leader 1
learn 1
learns 1
leaves 1
lets 1
like 1
living 3
longlost 1
meet 1
month 1
named 1
night 1
not 3
notsodistant 1
of 10
one 3
originally 1
out 1
outcast 1
paradise 2
part 1
penal 1
pleased 1
prison 2
project 1
psychologist 1
real 1
really 1
regular 1
renamed 1
reveals 1
she 2
sight 1
so 1
soon 1
starts 1
stay 2
stays 1
still 1
succeeds 1
supposed 1
taken 1
tell 1
that 6
the 17
their 2
them 1
therefore 1
they 3
to 8
try 1
underground 1
w 1
walls 1
was 5
when 2
which 2
who 2
wildlooking 1
with 1
within 1
wogpo 2
woman 2
world 2
xanadu 13
yearold 1
years 1
young 2
