5870991
/m/0fb190
/m/0fb190
Elizabeth Lewis
1932
13 1
13yearold 1
18 1
a 7
activists 1
allowed 1
allows 1
alone 1
along 1
alternately 1
an 2
and 6
apprenticeship 2
arrives 1
arrogant 1
as 2
asking 1
attacked 1
bandits 1
be 2
bebe 1
because 1
being 1
book 1
boy 1
by 1
capable 1
case 1
chapters 1
chungking 1
city 3
complete 1
coppersmith 2
device 1
encounters 1
establishment 1
follow 1
foreigners 1
friend 1
from 2
fu 4
given 1
goes 1
government 1
grow 1
has 1
he 3
her 3
his 2
humble 1
in 5
is 4
letter 1
living 2
master 1
might 1
more 2
of 5
officials 1
old 1
only 1
opens 1
otherwise 1
plot 1
political 1
poor 1
praised 1
rather 1
rented 1
reviled 1
rich 1
room 1
scholar 1
see 1
shop 1
skills 1
small 1
soldiers 1
somewhat 1
son 2
swindled 1
tang 2
than 2
that 2
the 12
thieves 1
to 4
us 1
village 1
way 1
which 1
while 1
widow 1
widowed 1
with 3
young 4
youth 1
yuinfah 1
yushu 1
