12186317
/m/02vtpjd
/m/02vtpjd
Shannon Hale
2006-09-05
a 14
accepts 1
after 6
againeither 1
against 2
agree 1
all 3
although 1
ambassador 3
ambassadors 1
and 33
another 1
answering 1
approaches 1
are 5
arrive 2
arrives 1
as 2
asks 1
assignment 1
assume 1
at 2
attempting 1
back 1
bayeners 1
bayern 9
bayerners 1
be 5
beat 1
because 2
before 1
begins 1
behind 1
being 1
believe 1
believes 1
belvan 1
best 1
between 1
boat 1
bodies 1
body 2
boring 1
brother 1
burned 2
burner 3
burners 1
burning 2
but 2
buy 1
by 5
can 2
capital 1
captain 3
captured 1
celebration 1
celebratory 1
challenge 1
challenges 1
character 1
chose 1
chosen 1
city 1
cohort 2
colors 1
come 2
comes 1
confess 1
conrad 1
coolness 1
correctly 1
could 1
countries 1
country 1
creeps 1
dasha 7
deep 1
defeat 1
die 1
dinner 1
discovered 1
discovers 2
discuss 1
discussion 1
doesnt 1
due 1
duel 1
dye 1
dyes 1
each 1
easily 1
ends 2
enna 6
enough 1
escort 1
escorting 1
every 1
everyone 2
excellent 1
except 1
exchange 1
experiences 1
feast 1
feelings 1
fight 2
finally 1
find 1
finds 2
finn 4
fire 1
fool 1
for 5
from 3
geric 1
get 1
gift 1
girl 1
given 1
go 1
goes 2
goose 1
group 1
had 2
harp 1
has 2
have 1
he 4
hidden 1
him 6
himself 1
his 7
hits 1
home 2
host 1
hostess 1
how 1
however 1
humiliated 1
identities 1
in 6
ingridan 2
into 1
introduced 1
is 8
isi 3
it 1
job 1
join 1
just 1
killed 1
killing 1
king 2
knew 1
know 1
lady 2
late 1
leads 1
leave 2
led 1
ledel 6
leifer 1
like 1
longranged 1
lord 1
love 1
main 1
make 1
makes 1
map 1
marry 1
meeting 1
meets 1
megina 1
might 2
mock 2
more 1
most 1
murderer 1
named 1
napralina 1
near 1
nearly 2
newlytaught 1
next 1
no 1
nobles 1
not 1
novel 1
observation 1
of 16
off 1
on 2
one 2
only 2
opinion 2
or 2
order 1
other 1
out 2
outside 1
overhears 1
own 3
palace 1
participation 1
party 2
passes 1
peace 1
people 2
placed 1
playing 1
plea 1
popular 1
power 2
prince 3
proceeds 2
promote 1
proposal 1
queen 2
questions 1
random 1
razo 19
reception 1
rejects 1
relationship 1
requesting 1
return 1
returns 1
rich 1
river 1
robes 1
robeswith 1
see 2
seeing 1
seen 1
selfdoubt 1
sent 1
separate 1
series 1
shoes 1
should 1
singing 1
sister 1
skills 1
sling 3
so 1
soldier 1
soldiers 5
song 1
soon 2
spark 1
speak 1
speaks 1
spears 1
spend 1
spy 1
spying 1
still 1
story 3
such 1
summer 3
swordfight 1
taken 1
talking 1
talone 1
target 1
teach 1
telling 1
tells 2
that 11
the 46
their 7
them 3
then 2
they 9
thing 1
this 1
thousand 1
time 1
tipped 1
tira 4
tiran 8
to 26
together 1
told 1
too 1
trees 1
true 1
tumas 2
turn 1
twenty 2
two 1
until 1
up 3
used 1
vote 1
war 3
warehouse 1
warmongers 1
was 3
watch 1
watching 1
waterspeak 1
way 1
weapon 1
wear 1
wearing 1
week 1
when 1
where 2
while 1
white 1
who 2
whole 1
whom 1
win 1
winter 1
with 9
work 1
year 1
