31891721
/m/0gvsmkg
/m/0gvsmkg
Anthony Trollope


a 9
abortive 1
about 1
accept 1
accomplished 1
advice 1
advises 1
after 1
agreement 1
all 1
allows 1
amiable 1
an 1
and 14
are 2
assents 1
assures 1
authority 1
beliefs 1
believes 1
between 1
bliss 1
brewery 3
but 3
by 3
calls 1
charles 1
churchman 1
circulate 1
comfort 2
communicates 1
conduct 1
consults 1
control 1
cottage 1
courted 1
courtship 1
daughter 2
decisions 1
depressed 1
devon 3
dispute 2
dorothea 1
end 1
engagement 2
ensues 1
estate 1
evangelical 2
exeter 1
fails 1
falls 1
first 1
for 2
from 3
gloomy 1
grows 1
has 1
have 1
he 2
her 11
hers 1
him 1
his 9
husband 3
impediments 1
in 6
income 1
incompatible 1
increasingly 1
inherited 1
insists 1
instructions 1
interest 1
into 1
intolerant 1
involves 1
is 8
joys 1
lawyer 1
legal 1
lives 1
local 1
london 2
love 1
low 1
luke 1
make 1
man 1
marital 1
marriage 2
money 1
morals 1
mother 3
motives 1
mrs 7
near 1
notions 1
obeys 1
of 6
offer 1
older 1
on 2
otherwise 1
over 3
own 1
particular 1
pastor 2
persuaded 1
prime 5
profitable 1
prong 3
proposals 1
proprietor 1
rachel 6
ray 4
rays 1
release 1
religious 1
renewed 1
respond 1
retain 1
returns 2
rowan 6
rule 1
ruled 1
rumours 2
salvation 1
samuel 1
satisfaction 1
seek 1
senior 1
settled 1
she 3
sister 1
soon 1
still 1
strict 1
strong 1
submit 1
subplot 1
suspects 1
suspicions 1
that 2
the 14
these 1
this 2
to 15
two 1
unable 1
unwilling 1
upon 2
vouching 1
wants 1
weak 1
when 1
who 1
widow 1
widowed 1
wife 1
with 3
worldly 1
write 1
young 1
younger 1
zealous 1
