7665087
/m/02688n7
/m/02688n7
Tracy Hickman

{"/m/06n90": "Science Fiction", "/m/014dfn": "Speculative fiction", "/m/01hmnh": "Fantasy", "/m/0dwly": "Children's literature"}
200 1
a 7
absorbed 1
abyss 6
accept 1
activate 1
after 2
against 1
agrees 1
all 1
allowed 1
allowing 1
altered 1
and 21
angry 1
appears 1
are 2
army 5
arrival 1
ascension 1
assassinate 1
assassination 1
astinus 1
at 2
attempt 2
back 1
be 1
beaten 2
because 1
been 1
before 2
begin 1
being 1
believe 1
believing 1
betrayed 1
book 1
bribed 1
bring 1
brother 1
burrfoot 1
but 3
by 3
capture 1
captured 1
caramon 8
claims 1
cleric 1
close 1
come 2
comparable 1
constantly 1
continues 1
convert 1
correct 1
create 1
created 1
crysania 8
daring 1
dark 2
darkness 1
death 1
denubis 1
departed 1
device 2
died 1
discovered 1
discovers 2
dragonbane 1
dragonlance 1
drastically 1
during 1
dwarf 1
dwarven 2
dwarves 6
dying 1
encounters 2
ends 1
enter 2
entering 1
equivalent 1
escaped 1
existence 1
explosion 1
fact 1
fail 1
failure 2
false 1
far 1
find 1
finds 2
fire 1
fistandantilus 4
fix 1
flees 1
for 1
fortress 2
from 2
gates 1
get 1
globe 1
gnimsh 4
gnome 2
gnomes 2
go 1
godhood 1
gods 2
goes 2
goldmoon 1
guardians 1
had 3
has 3
have 2
having 1
he 8
heals 1
help 3
her 2
hero 1
high 1
hill 2
him 3
himself 1
his 9
how 1
however 1
huma 1
hundred 1
immense 1
immensely 1
in 9
increasing 1
into 1
invent 1
inventions 1
is 13
it 6
join 2
joke 1
journeying 1
kharas 2
killed 1
kills 1
kingdom 1
lance 1
lands 1
last 1
later 1
leader 1
learning 1
led 1
levels 1
local 1
located 1
love 1
magical 1
makes 1
many 1
massive 1
master 1
means 1
meets 1
memories 1
mistake 1
more 1
mountain 2
necessary 1
not 2
number 1
of 16
off 1
often 1
on 1
opens 1
out 1
over 1
passing 1
past 1
pax 1
people 2
perhaps 1
period 1
place 1
plague 1
plane 1
plans 1
populace 1
portal 4
possibly 1
power 2
preparing 2
present 1
presumably 1
pretension 1
proper 1
prove 1
queen 1
raistlin 15
ravaging 1
razes 1
really 1
rejects 1
rescues 1
result 1
retreat 1
returning 1
revealed 2
reveals 1
same 1
scene 1
several 1
share 1
she 3
shifts 1
slowly 1
socalled 1
soon 2
sorcery 1
soul 1
south 2
starts 1
still 1
stolen 1
stricken 1
summon 1
supplies 1
take 1
takhisis 1
talk 1
tas 4
tasslehoff 3
tells 1
tested 1
than 1
thanks 1
tharkas 1
that 11
the 48
their 3
them 2
then 1
there 1
they 3
this 1
thorbadin 1
thorbardin 2
thus 1
time 7
to 27
too 1
tower 2
town 1
traitorous 1
trials 1
tried 1
tries 1
true 2
undead 1
under 1
up 1
upon 1
uses 1
village 1
war 2
wealth 1
were 1
when 3
where 1
whereas 1
which 1
who 4
will 1
with 8
word 1
worked 1
world 2
would 1
wounds 1
years 1
yet 1
zhaman 2
