3139599
/m/08tysy
/m/08tysy
Louise Cooper

{"/m/014dfn": "Speculative fiction", "/m/02xlf": "Fiction", "/m/0l67h": "Novella", "/m/06wkf": "Spy fiction"}
174 1
a 36
able 2
about 2
accelerate 1
accepting 1
accident 1
accidentally 1
affair 1
again 1
against 1
age 1
agency 2
agent 4
agents 2
aggressive 1
aging 1
ago 1
agrees 1
airport 2
alcohol 1
all 1
ally 1
already 3
also 2
always 1
american 1
amongst 1
an 10
and 33
any 1
appeal 1
appointing 1
apprehend 1
approached 1
are 3
arms 2
army 1
arrest 1
as 6
asset 1
assumes 1
at 4
atmosphere 1
authorities 1
back 2
backing 1
bahamian 1
bait 1
be 6
because 3
been 2
being 2
between 1
bnd 2
boarded 1
boat 1
book 1
border 2
both 6
boyfriend 1
bring 1
bringing 1
britain 1
british 5
bruno 1
building 1
bureaucrats 1
but 7
buyer 1
by 5
cache 1
campaign 1
candidates 5
caribbean 1
case 2
cases 1
catches 1
celebrated 1
central 1
change 1
chaos 1
charge 2
chief 2
cia 5
claims 1
closed 1
closing 1
cocaine 1
codename 1
cold 2
collapse 1
colonel 1
committed 1
conclusion 1
conducting 1
confirmed 1
contact 1
cooperation 1
corps 1
cottage 1
could 1
countries 1
covered 1
crime 1
criminals 1
cross 1
crucial 1
cuban 1
cyprushe 1
dangerous 1
day 1
dea 1
dead 1
deal 1
deceiving 1
decided 1
decides 3
deciding 1
declines 1
deep 1
defector 1
defects 1
delighted 1
denouncing 1
departs 1
deputy 2
desk 1
despite 1
details 1
detente 1
developed 1
digging 1
directly 1
discreetly 1
disintegration 1
distrust 2
document 2
documents 3
done 2
drawing 1
during 2
early 1
east 2
eastern 1
elderly 1
election 1
elite 1
employment 1
end 1
ends 2
enforcement 1
enlists 1
ensues 1
ensures 1
enter 1
entire 1
entourage 1
equivalent 1
error 1
escape 3
european 1
events 2
eventually 1
evidence 1
example 1
execution 1
expatriate 1
expatriates 1
explained 1
explodes 1
exploit 1
exposed 1
exposes 1
exposure 1
exsas 1
extreme 1
false 1
fate 1
favor 1
favour 1
feeling 1
fictional 1
fight 1
figures 1
finally 1
financial 1
find 1
first 2
fishing 1
flies 2
flights 1
florida 1
fly 1
focused 1
foil 1
for 7
forging 1
found 1
four 2
friend 1
friends 1
from 7
general 2
german 1
germany 3
get 3
given 1
going 1
governor 4
groups 1
gru 1
gut 1
had 1
hands 3
has 5
have 6
having 1
he 16
head 1
headline 2
hearing 2
hears 2
help 1
her 4
hiding 1
hierarchy 1
highly 1
highranking 2
him 4
himself 4
hired 1
his 21
hold 1
house 1
however 2
hurry 1
hussein 1
identified 1
identifies 1
identify 1
identity 1
immediate 1
important 1
in 23
included 1
including 1
incontestable 1
independence 2
indirectly 1
information 3
insists 1
insulted 1
intelligence 3
intercept 1
interested 1
into 4
introduces 1
invaded 1
investigate 1
investigator 2
investigators 1
involved 2
ira 3
irish 1
is 29
island 6
it 6
its 2
job 1
jobs 1
july 1
keep 2
keepsake 6
