2887589
/m/0898hd
/m/0898hd
Tayeb Salih
1966

a 4
about 1
achievements 1
acquaintances 1
adulation 1
affairs 1
after 1
aloof 1
also 2
am 1
an 2
and 12
anger 1
antagonistically 1
around 1
arrival 1
as 3
asks 1
author 1
awakens 1
becomes 1
been 1
betrays 1
between 1
both 1
british 1
but 1
by 3
center 1
chapter 1
choice 1
complex 1
conrad 1
conscious 1
crosscolonial 1
cultural 1
curiosity 1
darkness 1
death 1
despair 1
discover 1
discovers 1
displays 1
do 1
doppelgnger 1
driven 1
drunken 1
edge 1
educated 1
education 1
emerges 1
encounters 1
england 2
english 1
europe 1
evening 1
exhibits 1
experiences 1
explore 1
fascinated 1
final 1
floating 1
fluent 1
for 1
form 1
furthering 1
great 1
has 2
hateful 1
he 3
heart 1
held 1
him 2
himself 1
his 11
home 1
hybridity 1
i 1
identity 2
in 12
individual 1
influential 1
is 2
joseph 1
later 1
learns 1
leaving 1
lie 1
life 2
lingering 1
love 1
makes 1
many 1
most 1
much 1
mustafa 11
named 1
narrator 10
native 1
nature 1
new 1
nile 1
no 1
none 1
novel 2
novels 1
of 8
often 1
on 3
one 1
orientalism 1
othello 2
others 1
own 1
particular 1
past 4
poetry 1
precariously 1
precocious 1
presence 1
reciting 1
related 1
relationship 1
repercussions 1
resolute 1
returned 1
rid 1
right 1
saeed 4
sanity 1
saying 1
senses 1
seven 1
stand 1
stories 1
story 2
stranger 2
student 1
sudan 1
taking 1
tells 1
that 3
the 26
their 1
then 1
to 6
toll 1
troubled 1
unnamed 1
very 1
village 2
villager 1
violent 1
was 2
west 1
western 1
who 2
wistfully 1
with 2
women 1
years 1
