5568656
/m/0dszn8
/m/0dszn8
Andre Norton

a 3
actions 1
adopts 1
against 1
altered 1
american 1
an 1
and 4
anger 1
animals 1
are 1
aspects 1
at 1
but 1
comrades 1
connections 1
culture 2
distant 1
empathic 1
enemies 1
explores 1
exsoldier 1
family 1
following 1
for 1
former 1
genetically 1
group 1
harbors 1
has 2
he 2
herd 1
hired 1
his 3
home 1
hosteen 1
in 4
it 1
life 1
livestock 1
man 1
metaphors 1
named 1
native 1
navajo 1
new 1
norton 1
novel 1
of 4
on 2
past 1
planet 1
quade 1
revenge 1
series 1
specifically 1
still 1
storm 4
story 1
sworn 1
team 1
telepathic 1
tells 1
that 1
the 7
this 1
through 1
to 2
travels 1
who 1
whom 1
with 2
world 1
xik 1
