13401703
/m/03c43kr
/m/03c43kr
Joris-Karl Huysmans


a 2
an 1
and 4
antiromantic 1
are 2
artificiels 1
avowedly 1
baudelaire 1
by 1
chteau 1
contentment 1
countryside 1
couple 1
creditors 1
cunning 1
daytoday 1
decadent 1
descriptions 1
dilapidated 1
disappointments 1
discover 1
diseased 1
documents 1
dream 1
existence 1
fantasies 1
far 1
finding 1
from 2
greedy 1
grotesque 1
happens 1
highly 1
his 2
idyllic 1
in 5
influenced 1
interspersed 1
irritations 1
is 1
jacques 2
landscape 1
lautramont 1
les 1
little 1
local 1
louise 1
lourps 1
marles 1
marleses 1
money 1
novel 1
obsessed 1
of 3
paradis 1
parisian 1
peasants 1
petty 1
poems 1
possibly 1
realistic 1
recounting 1
refuge 1
seeks 1
sequences 1
style 1
summer 1
the 8
these 1
this 1
three 1
very 1
village 1
wife 1
with 3
work 1
