26360636
/m/0bbxtq7
/m/0bbxtq7
Charlaine Harris
1990-12-01
{"/m/0lsxr": "Crime Fiction"}
12 1
411 1
a 5
all 1
also 1
analyze 1
and 1
as 3
aurora 1
be 2
bludgeoned 1
bored 1
buffs 1
but 1
cases 1
close 1
club 2
could 1
crime 3
detective 1
discover 1
discussed 1
each 1
exactly 1
famous 2
fellow 1
follow 1
georgia 1
get 1
he 1
her 2
in 6
interest 1
is 3
it 1
just 1
killer 1
lawrenceton 1
leaves 1
librarian 1
local 1
look 1
manner 1
meet 1
member 1
members 2
mimicking 1
monthly 1
murder 2
murders 3
must 1
mystery 1
new 1
night 1
not 1
of 6
one 2
only 1
or 1
other 2
police 1
potential 1
quickly 1
real 2
roe 3
romantic 1
same 1
says 1
skin 1
sleuths 1
small 1
sudden 1
suspect 1
teagarden 1
that 1
the 11
their 1
they 1
tingling 1
to 3
too 1
town 2
victim 1
which 1
who 1
whose 1
with 1
work 1
writer 1
writing 1
