5026872
/m/0c_gxg
/m/0c_gxg
Joe Dever
1998
{"/m/03ff00": "Gamebook", "/m/0dwly": "Children's literature"}
a 1
accursed 1
agarash 1
allies 1
ancient 1
and 3
autarch 1
been 1
bhanar 1
but 2
by 1
claw 3
clutches 1
conquest 1
damned 1
dawn 1
destroy 1
disaster 1
do 1
dread 1
during 1
elder 1
evil 2
for 1
forever 1
from 1
had 1
has 1
have 1
held 1
heralds 1
his 1
hostile 1
in 2
into 1
is 1
it 3
its 1
land 1
legend 1
lost 1
magi 1
magnamund 2
means 1
molten 1
must 1
naar 1
naaros 1
nations 1
not 1
now 1
of 9
peaceable 1
possess 1
power 2
resurfaced 1
return 1
ruins 1
sejanoz 1
snatch 1
that 1
the 14
they 1
to 1
used 1
vampirium 1
venture 1
wand 1
wise 1
wizards 1
you 1
your 1
