24667353
/m/080j11j
/m/080j11j
Patricia Pearson


172 1
2001 1
85 1
a 4
about 1
accepted 1
all 1
almost 1
also 1
although 1
an 1
and 5
antidepressants 1
articles 1
at 2
because 1
beginning 1
body 1
book 2
brain 2
brains 1
challenges 2
chapter 1
chapters 2
chemical 1
claim 1
combine 1
commentary 1
completely 1
consists 1
contains 1
conventional 1
deficiency 1
dopamine 2
drugs 1
effect 1
eighth 1
endnotes 1
evident 1
evolved 1
explanationis 1
found 1
frequently 1
from 1
generally 1
has 1
have 1
health 2
historiography 1
idea 1
imbalance 1
in 4
into 1
is 4
james 1
kierkegaard 1
layman 1
legend 1
medical 1
medications 2
mental 2
narrative 1
need 1
nine 1
notes 1
odyssey 1
of 7
on 1
one 2
other 1
outside 1
over 1
pearson 3
people 1
percent 1
personal 1
philosophical 1
poetry 1
point 2
psychoactive 1
ranging 1
references 1
reflection 1
says 1
scholarly 1
section 2
serotonin 1
she 3
social 1
some 1
soothing 1
sort 1
sren 1
states 2
style 1
target 1
that 4
the 13
their 1
they 1
this 2
those 1
tissues 1
to 2
treatment 1
trouble 1
unresearched 1
unsupportable 1
urban 1
views 1
william 1
wisdom 1
with 1
writings 1
