8524087
/m/0276k6d
/m/0276k6d
Robert Ludlum
1974
143 1
a 10
ability 1
able 1
about 1
accepts 1
access 1
acquire 1
acquired 1
active 1
actor 1
adamant 1
advances 1
after 2
agency 1
agents 1
air 1
aires 4
airfield 1
all 1
allies 5
although 2
altitudes 2
americans 1
an 6
and 11
another 1
apartment 1
are 6
argentina 1
arranged 1
arranges 1
arrival 1
asher 1
assailants 1
assignment 3
at 6
attack 1
attacks 1
attempts 1
awaiting 1
away 2
axis 1
azores 1
back 2
be 3
because 1
become 1
being 2
belgian 1
believes 1
beloved 1
blackmails 1
bombers 1
both 1
buenos 4
but 1
by 3
cameron 1
capable 1
captures 1
carry 1
choice 1
city 1
clever 1
colonel 1
committed 1
congo 1
continue 1
control 1
controller 1
critically 1
david 2
dday 1
decides 1
defectors 1
design 1
details 1
development 1
diamonds 4
discovers 2
do 1
does 1
draw 1
drawn 1
each 1
ed 2
embassy 1
employed 1
encounters 1
end 2
erich 1
estate 1
eve 1
evidence 1
exchange 7
exchanged 1
exiled 1
facilitating 1
facing 1
falls 1
feld 2
ferries 1
find 2
flame 1
for 6
forth 1
from 5
german 4
germans 4
gestapo 2
group 1
gyroscope 1
gyroscopes 7
had 2
haganah 3
has 2
have 1
having 2
hawkwood 1
he 14
high 5
him 5
his 10
however 2
if 1
immensely 1
impede 1
in 12
incriminating 1
industrialist 1
influential 1
informs 1
intelligence 1
into 1
invaluable 1
invasion 1
ironically 1
is 11
it 1
jean 2
jenner 1
jewish 2
key 1
kill 1
killing 1
know 1
lack 1
leader 1
leslie 1
life 1
lisbon 3
losing 1
love 1
made 1
meantime 1
meanwhile 1
meets 2
mentor 1
murdered 1
must 1
mysterious 1
nachrichtendienst 1
nazi 1
necessary 1
need 2
needs 1
network 2
neutral 1
new 3
normandy 1
not 3
number 1
occupied 1
occurring 1
of 7
old 1
on 7
one 1
operate 1
operating 1
other 2
out 2
oversee 1
pace 2
party 1
peenemnde 1
people 1
place 1
planned 1
plot 1
postponed 1
powerful 1
pretends 1
procure 1
profound 1
program 1
proposes 1
puzzled 1
quality 2
radio 1
receipt 1
recruited 1
retire 1
rhinemann 7
rocket 1
run 1
second 1
secret 1
seemingly 1
select 1
selected 1
set 1
several 1
shock 1
shortages 1
side 1
soon 1
spaulding 9
spy 1
stop 1
stopped 1
stopping 1
succeeds 1
supervise 1
suspects 1
take 1
territory 2
terrorist 1
that 8
the 40
their 2
themselves 2
then 1
there 1
they 2
thin 1
thus 1
to 18
trailed 1
tries 1
trying 1
unacceptably 1
upon 1
vanishes 1
victory 2
voice 1
war 2
welcomed 1
what 1
when 1
which 1
while 2
who 3
will 2
win 1
with 3
without 1
woman 1
work 1
world 1
york 2
