9406652
/m/0287kyc
/m/0287kyc
Oyyarathu Chandumenon
1889
{"/m/05hgj": "Novel"}
a 6
along 1
also 1
amma 1
and 5
another 1
arrives 1
artistic 1
away 1
back 1
bengal 1
but 1
caste 1
chennaithe 1
class 2
clothesbutat 1
colours 1
cusyom 1
day 1
decadence 1
details 1
dramatises 1
dressed 1
educated 3
education 1
emphasizes 1
encourages 1
end 1
english 1
evils 1
feudalism 1
friends 1
from 2
girl 1
good 2
graceful 1
graduated 1
hairaccording 1
haste 1
he 2
hero 1
heroine 1
household 1
how 1
ideal 1
in 6
indulekha 6
intelligence 1
inter 1
is 4
its 1
kept 1
knowledgeable 1
lakshmikkutti 1
leave 1
lot 1
love 1
madhavan 4
madras 1
madrashe 1
makes 1
man 2
marriage 1
marries 1
matrilineal 1
member 1
menon 1
mother 1
nair 2
namboothiri 3
namboothiris 1
nambudiri 1
nayar 2
newly 1
novel 2
of 11
old 2
oppression 1
panju 1
period 1
polygamous 1
practices 1
present 1
presented 1
progressive 1
promptly 1
refuses 1
relationship 1
represents 1
resistance 1
runs 1
same 1
sanskrit 1
she 2
snubs 1
social 1
society 1
soori 1
stands 1
start 1
story 2
succumb 1
talent 1
the 17
then 1
there 1
they 1
those 1
timehe 1
times 1
to 7
turf 1
united 1
university 1
up 1
was 1
western 1
who 3
with 5
woman 2
young 2
