23551026
/m/06w7sc6
/m/06w7sc6
Bernardo Guimarães
1872

a 7
able 1
after 1
amorous 1
and 7
are 1
away 1
become 1
becomes 1
being 1
between 1
book 1
breakdown 1
but 1
called 1
celebrate 1
celebrating 1
childhood 1
church 1
city 1
de 1
deceased 1
despite 1
dies 1
dilacerating 1
discovers 2
dying 1
each 1
eugnio 3
father 1
first 2
flesh 1
following 1
forget 1
frenzy 1
friends 1
gerais 1
goes 1
has 1
have 1
he 8
him 1
himself 2
his 6
hometown 1
honor 1
however 2
in 5
is 5
itapecerica 1
keeps 1
later 1
leaves 1
love 1
made 1
margarida 5
mass 4
mental 1
minas 1
naked 1
nearly 1
not 1
of 5
off 1
on 4
order 2
orders 1
ordination 1
other 1
pleasures 1
priest 3
receives 1
relations 1
religiosity 1
requiem 1
restrain 1
returning 1
runs 1
seminary 1
sent 1
set 1
she 1
shortly 1
sick 1
taking 1
tamandu 1
that 2
the 5
then 1
this 1
to 7
two 1
unable 1
unbeknownst 1
very 1
vests 1
vila 1
when 1
who 1
