1096847
/m/045qg_
/m/045qg_
James Redfield
1993
{"/m/037mh8": "Philosophy", "/m/014dfn": "Speculative fiction", "/m/03rllnc": "Inspirational", "/m/02xlf": "Fiction"}
20 1
600 1
a 12
abandoned 1
about 1
actually 1
after 3
airplane 1
also 1
an 4
ancient 2
and 8
are 4
arrest 1
arrival 1
as 2
awakening 1
barrier 1
bc 1
be 2
becoming 1
been 1
before 1
begins 1
being 1
belief 1
book 2
brevity 1
by 3
can 1
catholic 1
character 1
church 2
cities 1
civilization 1
claims 1
coincidences 1
complete 1
completely 1
connection 1
contained 1
cross 1
curious 1
dating 1
decides 1
discusses 1
dissemination 1
divine 1
dramatically 1
eastern 1
encounter 1
end 1
energy 1
establish 1
events 1
experience 1
experiencing 1
female 1
figures 1
find 1
first 1
firstperson 1
for 1
forces 1
found 1
friend 1
given 2
go 1
government 2
had 1
happens 1
has 1
have 1
he 5
help 1
him 2
his 2
historian 2
ideas 1
illustrated 2
in 12
incas 1
individual 1
insight 4
insights 6
instances 1
interested 1
into 1
is 6
journey 1
learning 1
learns 2
leaves 1
left 1
length 1
level 1
life 1
made 1
main 1
male 1
manuscript 4
many 1
maya 3
meaning 1
meets 1
narrative 1
narrator 4
new 1
nine 2
ninth 1
no 1
notes 1
notice 1
novel 2
of 10
often 1
old 1
on 2
one 2
only 2
opening 1
opens 1
opposed 1
pages 1
partial 1
period 1
personal 1
peru 3
peruvian 2
plot 1
police 1
possibilities 1
powerful 1
promise 1
psychological 1
pursued 1
reached 1
reacquainted 1
reading 1
reality 1
recently 1
residence 1
returns 1
revealed 1
rooted 1
ruins 1
sake 1
series 1
shoot 1
soon 2
spiritual 4
states 1
story 1
succeeds 1
such 1
summaries 1
synchronicity 1
tells 1
tenth 1
text 2
that 4
the 38
them 2
then 2
this 2
those 1
through 1
to 13
took 1
traditions 1
transitional 1
translated 1
translation 1
try 1
typewritten 1
understand 1
undertakes 1
united 1
up 1
various 1
vibration 1
was 2
well 1
when 1
where 1
whereupon 1
which 5
while 1
who 3
with 4
within 1
