30821476
/m/0gfg6xc
/m/0gfg6xc
Gary Shteyngart
2010-07-27
a 7
abramov 1
account 1
all 1
alternate 1
america 1
and 5
anyone 1
appears 1
at 1
background 1
be 2
being 2
between 2
bipartisan 1
biting 1
brink 1
but 1
by 1
can 2
century 1
chapters 1
chinese 1
class 1
collapse 1
consumerism 1
correspondence 1
creditors 1
despair 1
diary 1
die 1
dissidents 1
economic 1
eliminating 1
email 1
encourage 1
entries 1
eunice 2
falls 1
family 1
fashioned 1
forever 1
from 1
globalteens 1
government 1
grim 1
her 2
human 1
immigrant 1
in 6
is 4
korean 1
koreanamerican 1
lenny 2
leonard 1
live 1
love 2
madly 1
main 1
man 1
materialism 1
meantime 1
mentality 1
middle 1
middleaged 1
midst 1
mission 1
of 6
old 1
on 2
oscillates 1
otherwise 1
park 1
past 1
political 2
pressures 1
privileged 1
profuse 1
promote 1
protagonist 1
rated 1
real 1
russian 1
screen 1
sexuality 1
situation 1
son 1
soon 1
still 2
story 1
struggling 1
superficiality 1
that 1
the 14
their 1
there 1
this 1
threatened 1
to 3
too 1
totalitarian 1
touch 1
traditional 1
unfortunate 1
unravels 1
unremarkable 1
value 1
what 1
where 2
while 1
whose 1
with 2
world 1
young 1
