4026221
/m/0bd5lr
/m/0bd5lr
Sarah Waters
2002-02-04
{"/m/039vk": "Gothic fiction", "/m/0lsxr": "Crime Fiction", "/m/02p0szs": "Historical fiction"}
a 46
abandoned 1
abandoning 1
able 1
about 2
above 1
abusive 1
activity 1
adoptive 1
affairs 1
after 7
agnes 1
agrees 1
alerts 1
all 4
alone 3
along 1
aloud 1
already 1
ambition 1
an 9
and 60
anger 1
answers 1
anxious 1
appalled 1
appallingly 1
appearance 1
appreciation 1
apprehend 1
are 5
arrangements 1
arrival 2
arrives 3
as 11
asked 1
assemble 1
assist 1
astonished 1
asylum 10
at 14
attempt 1
attempts 1
attentions 1
away 2
barely 1
basis 1
be 4
beat 1
beatings 1
become 1
bedroom 1
been 7
before 1
begged 1
beginning 1
begins 5
begun 1
being 3
belief 1
believe 1
believed 1
believing 1
betrayal 2
between 1
bibliography 1
birth 1
birthday 1
bitch 1
biting 1
blank 1
bleeds 1
boarding 1
books 1
booksindexing 1
borough 2
both 1
boy 2
bred 1
briar 9
briefly 1
bring 2
brother 1
brought 1
brutal 1
bunt 1
but 8
by 13
calm 1
can 1
cardthe 1
care 4
carer 1
carriage 1
carry 1
ceremony 1
chance 1
charles 7
charming 1
chelsea 1
child 1
choice 2
christopher 3
church 1
claim 2
claiming 1
closed 1
cold 1
colleagues 1
come 1
comes 2
commit 1
committed 2
committing 1
commonplace 2
compile 1
compiling 1
confesses 1
confront 1
confusion 1
conned 1
constantly 1
convinced 1
cottage 2
could 2
country 1
cream 2
cruel 1
curate 1
curator 1
daughter 2
days 2
deadens 1
death 2
deceived 2
deception 1
decree 1
deep 1
deeply 1
delight 1
delusion 1
demonstrate 1
den 1
denied 1
describes 1
despite 2
devastate 1
devastated 1
devastation 1
develops 1
dictionary 1
died 2
directed 1
disappears 1
discovered 1
distressed 2
doctors 3
does 2
done 2
doublecrossed 1
draper 1
dwells 1
each 1
earlier 2
early 1
eighteenth 1
eleven 1
elope 1
enlisted 1
enlists 1
ensues 1
entire 1
entitled 2
erotic 1
erotica 1
escape 4
escapes 1
escort 1
eventually 1
every 1
everything 4
exile 1
explaining 1
extent 1
faginlike 1
fallen 2
falls 1
familiarises 1
farmed 1
father 3
fear 1
feeling 1
feelings 1
fiction 1
file 1
finally 2
financially 1
find 2
finds 2
flee 1
folds 1
food 1
fool 1
for 15
forge 1
fortune 3
found 1
frederick 1
freedom 1
friendless 1
friends 1
friendship 1
from 7
furious 1
further 1
future 1
gain 1
gathers 1
generations 1
gentleman 27
girl 2
girls 6
give 3
gloves 1
gone 1
gown 1
growing 1
grows 1
guesses 1
guilt 1
had 19
halfmad 1
hanged 1
harbours 1
harmed 1
has 12
hastily 1
hates 1
have 2
having 1
hawtrey 1
he 8
health 1
hearts 1
heiress 1
help 3
helped 1
her 68
here 2
herself 2
hesitation 1
him 5
himself 2
his 11
holding 1
home 6
house 4
how 5
however 1
hysterical 1
i 2
idea 1
ideas 1
ignore 1
im 1
immediately 1
in 31
index 1
induction 1
infants 2
inheritance 1
initial 1
initially 1
innocent 2
insane 1
instead 1
intention 1
intercept 1
intercepted 1
into 5
introduces 1
involvement 1
involving 1
is 26
it 15
its 1
joke 1
keeping 1
keeps 1
key 1
kicking 1
kill 2
killing 1
knew 1
knife 2
know 2
knowing 1
known 2
knows 1
labouring 1
lady 2
lant 4
last 2
later 1
laughingly 1
law 1
leading 1
learnt 1
leaving 1
left 1
legally 1
letter 2
library 2
life 5
like 2
lilly 9
literary 1
lives 1
local 3
locket 1
london 3
loneliness 1
lord 1
love 3
loversin 1
mad 3
made 1
madhouse 1
maid 3
make 2
makes 1
making 1
maltreatment 1
many 1
marianne 6
married 2
marry 1
material 2
matrons 1
maud 50
mental 3
midnight 1
minutes 1
missing 1
money 1
mother 5
mr 2
mrs 27
much 2
murder 1
mutual 1
named 1
narrative 2
nature 2
nearby 2
nephew 1
never 1
newborn 1
next 1
night 3
no 3
noone 1
not 4
nothing 3
novel 2
now 2
nurses 2
oblivious 1
obscure 1
occasion 1
of 46
old 1
older 1
on 11
once 1
one 6
orchestrated 1
order 1
orphan 2
orphaned 2
other 1
out 6
over 2
overcome 1
overwhelmed 1
own 2
owned 1
parentage 1
part 1
passion 1
peace 1
persuade 1
persuades 1
persuading 1
physical 1
physically 1
picking 1
pining 1
place 2
placed 1
plan 5
planned 2
plans 1
played 1
playing 1
plot 3
poisons 1
police 1
pornography 1
posing 1
precisely 1
pregnant 1
preserve 2
pretending 1
pretends 1
previous 1
prison 1
prisoner 1
promised 1
purchase 1
question 1
quickly 2
quiet 1
rage 1
raised 2
ran 1
reactions 2
reads 1
realizes 1
realizing 1
really 1
receives 1
reference 1
regret 1
regular 1
reluctant 1
remain 1
remains 1
repeated 1
reply 1
representing 1
reputation 1
rescue 1
resentment 1
resigned 1
result 1
resumes 1
returning 2
returns 2
revealed 3
reveals 3
richard 3
rigid 1
rivers 7
sadistic 1
saying 1
scandal 1
screams 1
scuffle 1
secluded 1
second 1
secretary 2
seduce 1
seemingly 1
sees 2
sends 2
sent 2
servants 1
serving 1
sets 1
setting 1
seventeen 2
severely 1
shamed 1
share 2
she 38
sheltered 1
shock 1
shocked 1
shocking 1
shockingly 1
silence 1
simple 1
simply 1
skills 1
son 1
sorry 2
stabbed 1
stand 1
start 1
starts 1
station 1
stayed 1
stiles 1
still 2
stop 1
storms 1
street 4
stunned 1
subjected 1
submits 1
such 3
suchwhen 1
sucksby 21
sudden 1
sue 38
surfaces 1
susan 1
sustain 1
sustained 1
swears 1
switch 2
take 3
taken 1
takes 3
taking 1
task 1
taunts 1
tell 1
telling 1
tells 1
temporary 1
tendencies 1
that 21
the 86
their 2
them 3
then 1
there 1
these 1
they 3
thieves 1
things 1
this 2
though 3
time 3
tires 1
to 89
token 1
told 1
took 1
toward 1
travels 3
treated 1
trial 1
trick 1
tries 1
trinder 1
trio 2
troubled 1
true 2
truly 1
trust 1
truth 1
tucked 1
turns 5
twelve 1
two 4
unaware 1
uncle 8
under 1
unlikely 1
until 1
up 5
uses 1
using 1
vent 1
very 1
visit 2
visiting 1
waiting 1
waned 1
was 10
watching 1
way 2
wealthy 1
wear 1
wedding 1
week 1
weeks 2
were 1
what 1
when 8
where 4
whether 1
which 2
whispering 1
who 11
wife 1
will 6
window 1
with 13
woman 1
words 1
work 2
working 2
would 2
writing 1
written 1
years 2
