20737906
/m/054dybx
/m/054dybx
Jacqueline Woodson
2007-03-01
{"/m/03mfnf": "Young adult literature"}
170s 1
a 9
about 3
admits 1
afraid 1
african 1
all 4
also 2
am 1
american 1
an 1
and 23
angrier 1
anymore 2
arm 2
as 1
asks 1
at 2
baby 1
back 2
be 3
because 6
been 1
before 1
being 1
believe 2
believes 1
best 1
bit 1
book 2
born 1
boy 16
breaks 1
bridge 1
brother 2
bully 1
bullying 1
but 1
by 1
calmly 1
can 1
causes 1
chaos 1
christ 1
class 5
come 1
comes 2
comfort 1
cross 1
cursing 1
day 1
deaf 1
decides 2
difficult 1
disabilities 1
do 1
does 2
doesnt 3
dubbed 1
during 1
each 1
end 1
entrance 1
especially 1
even 2
faith 2
falls 2
father 1
feathers 2
feel 1
feeling 1
fence 1
fight 3
flying 1
frannie 8
frannies 1
friend 1
friends 1
go 1
going 1
good 1
got 1
grown 1
had 1
happening 1
hard 1
has 5
he 13
help 2
helped 1
her 4
here 1
hesitant 1
highlights 1
him 6
himself 1
his 3
hope 4
how 2
hurt 1
i 1
immediately 1
in 8
inside 1
intrigues 1
is 24
it 1
jesus 20
jump 1
just 5
kid 1
know 2
known 1
knows 2
land 1
language 2
later 1
left 1
let 1
life 2
lighter 1
like 2
little 1
lose 1
lot 1
makes 1
maybe 5
misunderstandings 1
moment 1
mother 1
mothers 1
never 2
new 1
not 2
of 14
off 1
older 1
on 4
one 3
only 2
onstantly 1
or 3
others 1
out 3
over 1
people 1
perceive 1
picks 1
place 1
pnbsp10 1
pnbsp118 1
poem 2
quiet 1
racism 1
read 2
realizes 2
reflects 1
remembers 1
retaliates 1
sad 1
said 1
samantha 5
samanthas 1
says 2
school 3
sensitive 1
she 13
short 1
shouldnt 1
side 1
sign 2
simply 1
since 1
skinned 1
snow 2
some 1
someone 1
something 4
soon 1
stand 1
student 1
students 1
stuff 1
subject 1
swinging 1
taking 1
talks 1
tension 1
than 1
that 14
the 21
their 1
then 1
theres 1
they 1
thing 3
thinking 1
thinks 2
this 2
time 1
to 15
topics 1
torn 1
treat 1
trevor 12
tries 2
truly 1
try 1
understand 1
up 3
urban 1
us 3
very 2
want 1
wants 1
war 1
was 2
were 1
what 1
when 4
which 1
white 3
who 2
whole 1
why 2
with 5
wonders 1
would 2
wrong 1
you 2
