6275721
/m/0f_52g
/m/0f_52g
Bruce Sterling
2004-05
a 7
aid 1
an 4
and 10
as 3
asked 1
attack 1
becoming 1
begin 1
begins 1
being 1
billionaire 1
boss 1
breakfast 1
bureaucracy 2
but 1
by 1
center 1
changed 1
changes 1
climb 1
comes 1
company 1
computer 2
continues 1
covert 1
crashing 1
derek 1
design 1
developed 1
discovers 1
discredit 1
dollar 1
end 2
endeavor 1
enjoying 1
enronlike 1
entrepreneur 1
even 2
fail 1
failing 1
find 1
forever 1
former 1
fortune 1
from 1
gains 1
goes 1
gone 1
government 2
have 1
he 4
head 1
heady 1
him 2
his 10
home 1
hopes 1
house 1
improve 1
in 4
ingenious 1
into 3
is 8
it 2
just 1
look 1
main 1
militarylike 1
money 1
months 1
more 3
moved 1
multibillion 1
nascent 1
new 2
nice 1
novel 1
of 5
on 3
options 1
or 1
outside 1
overglorified 1
own 1
paranoid 1
patriotic 1
peers 1
personality 1
planes 1
pork 1
power 1
problem 1
project 2
psychological 1
put 1
puts 1
question 1
really 1
reason 1
recruited 1
respect 1
respected 1
rich 1
satellite 1
scandal 1
scientist 2
security 1
simultaneously 1
son 2
source 1
space 1
spy 1
stock 1
success 1
suddenly 1
systems 1
technician 1
telescope 1
that 1
the 14
their 1
thinking 1
this 1
through 2
to 10
trade 1
use 1
van 5
vandeveer 1
vastly 1
washington 1
we 1
well 1
west 1
when 1
whether 1
who 1
whole 1
wife 2
will 1
wing 1
with 3
within 1
without 1
work 1
working 1
world 2
young 2
