19973365
/m/04yc7zp
/m/04yc7zp
Simon Green


a 9
able 1
after 1
again 3
also 1
an 1
and 6
any 1
appear 1
are 2
area 1
as 1
at 1
attacked 2
away 1
back 3
banishes 1
be 1
been 2
before 1
bring 1
but 3
butterflies 1
by 2
can 1
castle 3
cave 2
challenging 1
collects 1
company 1
completion 1
countless 1
darkness 1
darkwood 7
daughter 1
dead 1
defending 1
demons 4
depleted 1
destination 1
die 1
discovers 1
does 2
dragon 8
enable 1
encroaching 1
endless 2
ever 1
except 1
experience 1
face 1
find 3
finding 1
forest 3
from 3
get 1
grandson 1
group 2
guard 1
guards 1
hardly 1
has 2
have 4
he 4
heals 1
heart 1
her 1
high 1
hillsdown 1
him 3
himself 1
his 4
hordes 1
however 1
hunted 1
hunting 1
in 8
interest 1
is 7
it 2
julia 2
kill 1
killing 1
kingdom 1
knowing 1
knows 1
last 1
light 1
lives 1
long 1
lover 1
make 1
map 1
mountain 1
must 2
near 1
never 1
night 3
no 1
not 3
nothing 1
notorious 1
obtain 1
of 11
offers 1
on 1
only 2
other 1
out 4
outlying 1
packs 2
pass 2
passing 2
penetrates 1
press 1
princess 2
proceeds 1
provides 1
province 1
proving 1
quest 1
rainbow 1
reaching 1
refuses 1
run 1
rupert 10
sacrifice 1
search 1
second 1
seeks 1
sent 3
set 1
seventh 1
side 1
slay 1
some 1
spreading 1
strength 1
stubbornly 1
surprised 1
sword 1
that 3
the 34
their 1
them 1
they 1
this 1
though 1
through 4
to 19
top 1
towards 1
towns 1
travel 1
undertaking 1
unicorn 1
upon 2
vastly 1
villages 1
warlock 1
was 1
where 2
which 3
who 2
witch 1
with 3
worth 1
wounds 1
