19567193
/m/04n1src
/m/04n1src
John Lydgate

1 1
3 1
301 1
56 1
a 10
ababbcc 1
able 1
about 2
accord 2
accuse 1
acorde 1
advantage 1
aeolus 2
after 1
agree 2
air 1
all 4
allow 1
alone 1
along 1
an 1
and 43
any 1
apollo 1
apollos 1
appear 1
appears 1
arbor 2
are 4
armies 1
arrive 1
as 7
ask 1
asking 2
asks 1
assay 1
assembles 1
assembly 2
astrological 1
at 1
atropos 6
authority 1
awakens 1
back 1
banquet 1
bastard 1
battle 4
be 4
been 1
before 3
begin 1
being 1
besyde 1
between 2
blessings 1
bothe 1
bring 2
broken 1
but 3
by 5
called 1
can 5
causes 1
changed 1
characters 1
claim 1
cleansing 2
comes 3
coming 1
complains 1
complaint 1
composed 1
concluded 1
conclusion 1
connected 1
control 1
conventional 1
counterfete 1
court 1
critics 1
death 6
defeats 1
defied 1
defies 1
deities 1
dell 1
describes 1
descriptions 1
despised 1
determines 1
determyne 1
diana 1
dianas 1
discord 1
discrediting 1
disgusted 1
disobeyed 1
dispute 1
distinct 1
do 1
doctrine 3
done 1
dont 1
doute 1
down 2
dream 3
dreamer 8
drive 1
dry 1
each 1
eat 1
employ 1
encourage 1
ensure 1
episode 2
episodes 1
escape 1
escaped 1
escorts 1
establishes 1
estate 1
euery 1
exhorting 1
explain 1
explains 1
eyes 1
fear 2
feast 1
field 6
figured 1
five 1
flouting 1
for 6
forces 1
framework 1
freewill 3
from 4
gates 1
genesis 1
geographical 1
gete 1
give 1
given 2
god 1
goddesses 1
gods 8
goes 3
good 1
grass 1
harm 1
has 5
have 4
he 12
heads 1
hear 1
heats 1
heaven 1
held 1
her 1
hides 1
him 6
his 10
history 1
hold 1
hoping 1
host 3
hosts 1
how 1
hym 1
i 2
if 1
images 1
impending 1
in 11
influence 1
instructed 1
into 2
introduces 1
introduction 2
inviting 1
irregular 1
is 21
it 10
joins 1
judgement 1
knows 1
lake 2
learn 1
leave 2
leaving 1
life 1
light 2
line 1
lists 1
long 1
lord 2
lyst 1
made 2
main 1
make 2
maner 1
master 1
meaning 2
meets 1
messenger 1
meter 1
microcosm 4
minos 2
morpheus 2
musyng 1
myght 1
name 1
narrative 2
neptune 2
not 2
noted 1
of 40
off 1
offender 1
on 5
one 2
only 1
oo 1
oon 1
or 3
out 1
over 1
overcome 1
pagan 1
painted 1
palace 2
pattern 1
people 3
perseverance 1
person 2
place 2
planted 1
pluto 2
plutos 1
poem 4
poet 1
possessed 1
power 3
prepare 1
prepares 1
priesthood 1
process 1
promise 1
psychomachian 1
puzzle 1
question 1
quickly 1
rallies 1
read 2
reason 4
references 1
remembers 1
representing 1
resolve 1
resolved 1
rhyme 2
right 1
righteousness 1
royal 1
sacraments 1
sadness 1
saying 1
says 1
sea 1
search 1
second 1
sections 1
see 1
seen 1
sends 1
sensuality 3
sensualyte 1
sent 2
seruyce 1
service 1
set 1
setting 1
seven 1
shall 1
she 4
should 1
shuts 1
sit 1
sits 1
sleep 1
solytary 1
son 1
spot 1
standard 1
stanzas 1
stir 1
surprised 1
taken 2
takes 1
tells 1
that 13
the 73
their 5
them 4
then 1
ther 1
there 3
these 1
they 5
thing 1
things 1
think 1
third 1
this 3
those 2
threatens 1
three 1
through 2
thus 1
to 32
told 1
traditional 1
trial 1
troops 1
turne 1
types 1
under 1
up 3
uses 1
using 1
various 1
vassal 1
vice 7
vices 1
virtue 8
virtues 2
vision 1
walls 1
warns 1
watches 1
way 1
weeds 1
well 1
when 2
where 1
whete 1
which 5
while 1
who 8
whos 1
will 2
wins 1
with 4
wither 1
within 1
wont 1
world 1
worshippers 1
writes 1
yet 1
ys 1
