22563666
/m/05zrn4z
/m/05zrn4z
Justin Somper
2009
a 6
about 1
academy 1
action 1
alas 1
amongst 1
and 11
are 1
as 1
assasians 1
be 2
because 1
beheading 1
bittersweet 1
board 1
brings 1
but 1
by 2
cheng 2
connor 6
crew 1
daughter 1
daunting 1
decisive 1
dedicates 1
devastation 1
dies 1
down 1
dynamic 1
enjoys 1
face 1
family 1
fear 1
federation 1
first 1
for 1
friends 1
future 1
grace 4
half 2
has 1
he 2
hearing 1
her 4
highprofile 1
him 3
his 4
human 1
important 1
in 1
is 3
its 1
keeps 1
kill 1
kills 1
lady 1
leave 1
leaving 1
led 1
let 1
li 2
lockwood 1
lola 1
many 1
meanwhile 1
mother 1
new 1
news 2
of 5
on 3
past 1
piece 1
pirate 3
prodigy 1
realizes 1
refuses 1
reunion 1
roaming 1
sally 2
seas 1
she 2
ship 4
ships 1
shocking 2
sidorio 1
sidoro 1
sister 1
slain 1
some 1
son 1
special 1
sword 1
takes 1
tells 1
tempest 1
that 2
the 6
their 1
then 3
there 1
this 1
to 4
too 1
tracks 1
trail 1
tries 1
truth 1
twin 1
twins 1
two 1
uncertain 1
uncovers 1
vampirate 1
vampirates 1
vampires 1
wake 1
when 1
who 1
with 2
young 1
