14468841
/m/03d4jy_
/m/03d4jy_
Katherine Langrish
2004-06-07
{"/m/0dwly": "Children's literature", "/m/01hmnh": "Fantasy"}
a 9
absence 1
aided 1
all 1
alone 1
along 1
america 1
an 1
and 13
are 3
around 1
as 1
at 4
attempt 1
away 2
back 1
balder 1
banquet 1
banqueting 1
blizzard 1
bring 1
brother 1
brownie 1
built 1
by 2
children 1
climax 1
confident 1
cover 1
crew 1
daughter 1
decision 1
despairs 1
died 1
discover 1
discovers 1
do 1
dog 1
eiriksson 1
either 1
eriksson 1
escape 1
especially 1
exchange 1
faced 1
family 1
farm 1
farmer 1
fashion 1
father 2
fell 2
finally 1
first 1
for 1
forces 1
forever 1
four 1
friends 1
from 1
go 1
gold 1
granny 1
gratitude 1
greenlanders 1
greenteeth 1
grim 1
hall 1
has 3
hatching 1
he 3
hilde 4
hildes 3
him 3
his 10
housespirit 1
however 1
in 11
inhabited 1
into 3
invites 1
is 4
just 1
king 1
last 1
learn 1
leif 1
little 1
live 2
lives 1
loki 2
make 1
many 1
meanwhile 1
meets 1
mill 2
millpond 1
mischievous 1
mountain 5
nearby 1
neighbours 1
nis 2
nisse 1
norwegian 1
of 8
on 2
or 2
other 1
pages 1
peer 5
peers 2
pillars 1
place 1
plot 1
pretty 1
raises 1
ralf 4
ralfs 1
red 1
returned 1
saga 1
sailed 1
sell 1
shadow 1
ship 1
shipbuilder 1
similar 1
sinister 1
sister 1
slaves 1
standoff 1
stay 1
staying 1
stolen 1
story 2
taken 1
tells 1
that 1
the 29
them 1
there 1
though 1
to 9
together 1
took 1
top 1
trick 1
troll 5
trolls 3
tunnels 1
two 2
ulfsson 1
uncles 4
under 5
unpredictable 1
viking 1
vinland 1
voyage 2
water 1
waterspirit 1
way 2
we 1
when 3
which 2
who 2
whose 1
wicked 1
with 7
work 1
young 1
