9602243
/m/02plgvv
/m/02plgvv
Lynn Abbey
1998-09
a 21
abbey 1
ability 1
able 3
after 1
afterwords 1
against 1
air 1
alive 1
all 4
along 1
also 1
an 2
ancient 1
and 35
angels 1
apart 1
archangels 1
are 3
arrive 1
artifact 2
as 8
at 2
attacks 1
avenge 1
away 1
back 2
barracks 2
battle 2
be 4
beam 2
become 1
becoming 1
been 1
before 1
begin 2
begins 6
begs 1
being 1
believe 1
believes 1
between 2
black 1
blows 1
boils 1
bottom 1
boy 1
breaking 1
brings 2
brother 2
brothers 1
build 1
building 1
but 6
buys 1
by 8
called 2
can 1
cataclysm 1
cause 2
chamber 2
church 2
citizens 1
city 1
cocoon 2
comes 2
command 1
confines 1
constructed 1
constructs 1
control 2
core 1
could 1
create 1
created 1
creating 1
damage 1
defeated 1
defeats 1
defenseless 1
deliver 1
demon 1
deposit 1
descendants 1
destroy 2
destroyed 2
destroying 2
destruction 3
device 1
devices 3
distribute 1
distributing 1
does 1
dominaria 6
down 1
dragging 1
dragon 1
draws 1
due 1
during 1
edge 1
efuan 3
emerges 1
emitting 1
encounters 1
end 1
endeavours 1
engage 1
engages 1
engines 1
entire 1
equilor 1
escapes 1
evil 1
exact 1
except 1
exile 1
explodes 1
eyes 2
fallen 1
family 1
few 1
find 3
finish 1
flees 1
focuses 1
follow 1
follows 1
for 1
forced 1
forest 1
found 1
frequency 1
from 5
getting 1
given 1
giving 1
gix 6
glimmer 2
glistening 2
go 2
group 2
had 1
hand 1
has 1
have 4
haven 1
he 5
head 1
healed 1
healing 1
helps 1
her 4
here 2
herself 1
hides 1
high 1
him 4
his 10
home 2
hordes 1
however 2
hunger 1
if 1
immortality 1
in 5
incendiary 1
injured 1
injures 1
inside 1
into 2
invades 1
is 17
it 1
its 1
just 1
killed 1
killing 1
knowledge 2
labelled 1
land 1
leaving 1
led 1
lifeblood 1
link 1
live 1
lord 1
lose 1
losing 1
losses 1
love 1
lower 1
lynn 1
made 1
make 1
mana 2
manages 1
men 1
mightstone 1
mishra 1
mission 1
moon 4
more 1
moves 1
much 1
name 2
near 2
nerves 1
newt 2
night 1
not 4
occupation 1
of 27
off 1
oil 3
on 2
one 2
opening 1
or 1
ordeal 1
origins 1
out 5
palace 1
peak 1
people 1
peril 1
phyrexia 5
phyrexian 5
phyrexians 6
pincar 4
plan 1
plane 4
planeswalk 1
planeswalker 2
plwdrowiec 1
portal 6
power 3
powerful 1
powie 1
priest 2
quickly 1
race 1
ratepe 9
ratepes 1
reached 1
realm 1
rebel 1
recognize 1
recover 1
red 3
refuse 1
regains 1
reincarnate 1
rest 1
return 1
returned 1
revenge 1
rise 1
sacrificing 1
said 1
save 1
saves 1
saying 1
scream 1
see 1
seek 1
sent 1
sentenced 1
serra 4
set 1
several 1
severe 1
severely 1
she 9
slave 1
slays 1
sleepers 4
slinks 1
soon 2
sorcery 1
sound 1
source 1
spark 1
spider 1
spiders 3
spread 1
stay 2
step 1
stone 2
stones 1
stop 1
story 1
strikes 1
stripes 3
strongly 1
stuck 1
sucks 1
supposedly 1
survives 1
sustains 1
swears 1
take 1
takes 1
temple 2
that 5
the 69
their 2
them 6
themselves 1
these 1
they 9
thousands 1
thran 1
through 3
throughout 2
to 41
together 2
too 1
towards 1
town 1
traverse 1
tries 1
trouble 1
two 1
ultimately 1
unconscious 1
under 1
universe 2
upon 1
urza 21
use 1
using 1
vanquishes 1
variations 1
village 1
visit 1
walker 1
wants 1
war 1
watch 1
weakstone 1
well 2
were 2
when 4
where 2
which 3
while 2
white 1
who 3
with 5
within 7
without 1
world 2
worlds 1
would 1
xanctha 1
xantcha 14
your 1
zenith 1
