11255306
/m/02r57vy
/m/02r57vy
Hugh Walters
1959
{"/m/06n90": "Science Fiction", "/m/014dfn": "Speculative fiction"}
11 1
a 2
america 1
american 1
and 2
arrive 1
astronaut 1
at 1
before 1
book 1
both 3
breaks 1
by 1
chris 2
destroyed 1
domes 2
examine 1
first 1
for 1
godfrey 2
head 1
his 2
in 2
is 1
kant 1
leading 1
leave 1
leg 1
lunar 2
manned 1
missions 1
moon 1
morrison 1
of 3
pico 1
pilot 1
plan 1
predates 1
rover 2
russia 1
russian 1
same 1
serge 1
shortly 1
smyslov 1
so 1
spacecraft 1
standoff 1
steps 1
structures 1
takeoff 1
tense 1
the 10
time 1
to 4
unable 1
unlike 1
use 1
vehicle 1
wreckage 1
wrecked 1
years 1
