3978727
/m/0b9rz7
/m/0b9rz7
Betty Smith


a 4
able 1
against 1
and 5
annie 3
anyone 1
anyway 1
as 2
be 1
because 1
but 1
campus 1
carl 3
childlike 1
class 1
college 2
couple 3
discover 1
eighteen 1
endures 1
entertain 1
even 2
eventually 1
family 1
fit 1
free 1
friends 1
full 1
girls 1
going 1
grumpiest 1
hard 1
hardships 1
her 3
however 1
in 1
is 9
it 1
keep 1
learns 1
life 2
love 1
make 1
marriage 1
married 1
mother 1
motherinlaw 1
move 1
naive 1
of 3
offered 1
only 2
people 1
perfectly 1
playwright 1
pregnant 1
proves 1
quickly 1
say 1
scared 1
school 1
seems 1
she 4
spirit 1
spouse 1
start 1
talent 1
that 3
the 3
their 2
they 1
think 1
this 1
to 8
tries 1
trying 1
twenty 1
until 1
up 1
weds 1
what 2
while 1
will 2
with 3
