27142920
/m/0bwmk_5
/m/0bwmk_5
Brian Lumley
1989
a 11
able 1
adult 1
after 3
all 1
an 1
and 8
another 1
as 5
atomic 1
avoid 1
aware 1
banished 1
base 2
be 1
beam 1
because 1
becoming 1
been 1
besieged 1
blocked 1
blowback 1
book 1
both 1
british 1
by 2
cages 1
case 1
castle 1
clarke 1
commits 1
created 1
darcy 1
days 1
desperately 1
destroy 1
destroying 1
disappeared 1
discovers 1
earth 1
ebranch 2
emerged 1
enters 1
explore 1
for 2
freeing 1
from 3
grey 2
gypsy 1
harry 12
has 4
have 2
having 1
he 2
head 1
her 6
high 1
him 2
himself 1
his 5
hole 2
horribly 1
humanity 2
icelands 1
in 7
infected 1
inhabitants 1
interdimensional 1
into 1
investigating 1
investigation 1
is 5
it 3
jazz 1
jr 3
karen 2
kills 1
known 2
lady 2
leaves 1
leech 1
left 2
like 1
lord 1
lords 1
losing 1
lure 1
manifestation 1
many 1
masters 1
micheal 1
mind 1
monsters 1
new 1
not 1
now 1
of 7
off 2
on 3
oneway 1
only 1
or 1
origins 1
out 1
overlords 1
own 1
parallel 1
passage 1
people 2
photon 1
pile 1
powered 2
powers 1
prey 1
process 2
protect 1
recruits 1
remaining 1
remains 1
result 1
romania 1
room 1
russian 1
russians 1
searching 1
seeks 1
sending 1
series 1
servants 1
she 2
similarly 1
simmons 1
son 3
source 1
space 1
spends 1
spent 1
spy 1
sr 2
starsidesunside 1
starts 1
starving 1
struggling 1
suicide 1
sun 2
that 1
the 21
them 1
through 2
time 3
to 8
travel 1
traveling 1
use 1
used 1
vamipre 1
vampire 4
vampires 1
vampirewerewolf 1
wamphyri 2
was 1
watching 1
well 1
what 2
wherein 2
which 3
while 1
who 1
with 4
without 1
world 6
wounded 1
years 2
