573712
/m/02rgtm
/m/02rgtm
Barry Hughart
1984
{"/m/06n90": "Science Fiction", "/m/014dfn": "Speculative fiction", "/m/01hmnh": "Fantasy", "/m/02xlf": "Fiction"}
a 9
abbot 3
abuses 1
again 1
all 1
and 9
anything 1
are 1
at 1
ball 1
be 2
become 1
beggar 1
begins 2
bell 1
birds 2
bowl 1
bridge 2
bronze 1
by 1
call 1
called 1
can 1
charges 1
cheng 2
chin 1
china 1
city 1
cliff 1
coins 1
completes 1
crystal 1
day 1
departs 1
do 1
draft 1
dragon 1
due 1
duke 1
duty 1
each 1
end 1
event 1
falls 1
find 1
finding 1
finds 1
five 1
fix 1
fleeing 1
flute 1
follow 1
for 2
formed 1
forming 1
from 2
given 1
gives 1
gods 1
gold 1
guide 1
hang 2
happened 1
has 1
have 1
he 5
heaven 3
help 1
hidden 1
him 5
hint 1
his 6
hundred 1
in 9
inside 1
is 4
it 1
journey 1
kao 6
knowledge 1
laws 1
legendary 1
li 6
life 2
look 1
love 1
monastery 1
multiple 1
of 10
off 1
on 2
one 1
only 2
order 2
original 1
other 1
peking 1
power 1
provide 1
quarrels 1
quest 5
reunited 1
rich 1
right 1
robe 1
savage 1
saves 1
secret 1
see 1
separated 1
set 1
shu 1
skull 1
small 1
somehow 1
start 1
stay 1
steals 1
stop 1
story 1
succeeding 1
takes 1
tells 1
terrible 1
that 4
the 17
then 1
three 1
to 10
trinkets 2
truth 1
two 1
unable 1
until 1
wealth 1
what 1
where 1
which 1
while 1
who 3
whose 1
will 4
with 2
young 1
