19850190
/m/04q2hd8
/m/04q2hd8
Idries Shah
1968

a 2
adding 1
addition 1
ages 1
also 1
amongst 1
and 2
argued 1
as 6
aspects 1
best 1
biographies 1
book 1
brief 1
buddhism 1
burton 1
but 1
centuries 1
certain 1
chaucer 1
chisti 1
citing 1
civilisation 1
continuing 1
dag 1
descriptions 1
east 1
examples 1
former 1
four 1
from 1
gave 1
gone 1
greatly 1
had 3
hammarskjoeld 1
he 1
hinduism 1
in 3
influenced 2
known 1
largely 1
legend 1
major 1
naqshbandi 1
nations 1
number 1
of 8
or 1
order 4
orders 1
others 1
over 1
potted 1
previous 1
qadiri 1
questionandanswer 1
richard 1
said 1
secretarygeneral 1
sessions 1
shah 2
shakespeare 1
sir 1
some 1
stories 1
such 1
sufi 3
sufis 2
sufism 2
suhrawardi 1
tariqas 1
teachers 1
teaching 1
tell 1
that 3
the 11
theme 1
there 1
this 1
united 1
unrecognised 1
well 2
were 1
western 1
while 1
william 1
with 1
works 1
zen 1
