5615710
/m/0dwglw
/m/0dwglw
Clive Cussler


a 5
absolute 1
advances 1
also 1
an 2
and 7
bribed 1
brilliant 1
captain 1
ceo 1
company 1
countdown 1
dealing 1
dirk 2
discovered 1
engine 1
establishing 1
evil 2
found 1
from 1
gas 1
great 1
had 1
has 1
history 1
hudson 1
improved 1
in 2
is 1
it 1
its 1
leaders 1
made 1
magnetohydrodynamic 1
monopoly 1
natural 1
nautilus 1
nemo 1
novel 1
of 4
officials 1
oil 3
on 1
over 1
pitt 3
power 1
reclusive 1
remains 2
resources 1
river 1
ruthless 1
scientist 1
settlement 1
stop 1
supplies 1
system 1
technology 1
the 6
to 1
traced 1
typical 1
unravels 1
unriddled 1
us 1
viking 1
who 1
with 1
work 1
