6829111
/m/0grd2t
/m/0grd2t
Naguib Mahfouz
1956
a 7
abd 3
across 1
action 1
activities 2
acute 1
affair 1
affairs 2
afford 1
after 1
again 1
against 1
ago 1
ahmad 7
aisha 4
alcohol 1
aljawad 5
allowed 1
almost 1
alsayyid 6
also 3
amina 4
an 2
and 31
another 1
any 2
are 3
arises 1
as 5
assisted 1
at 8
authority 3
aware 1
baby 1
be 2
beautiful 1
because 2
become 1
befriending 1
begin 1
begins 1
behaves 1
between 1
both 1
boundaries 1
boy 1
breakfast 1
bright 1
bring 1
british 2
but 2
by 3
can 1
cannot 2
cease 1
certain 1
challenges 1
chapters 2
characters 2
chastity 1
child 1
children 4
circumstances 1
close 1
clothes 1
comes 1
comportment 1
concerned 1
conciliatory 1
conducting 1
considered 1
courtesan 1
courtesans 1
cultivation 1
daily 1
dancing 1
daughter 1
daughters 2
dawn 1
daytoday 1
dealing 1
deeply 1
delicately 1
demanding 1
despite 1
discussed 1
dismayed 1
do 1
drink 1
drinking 1
elder 2
eldest 1
elements 1
embarrassment 1
encampment 1
entertain 1
establishment 1
etiquette 1
ever 1
exact 1
example 2
explore 1
extramarital 1
fahmy 4
family 9
father 7
fearsome 1
find 1
fine 1
first 1
focus 2
food 1
for 5
forbidden 2
frightens 1
from 4
gathering 1
girls 1
glimpsing 1
goes 1
good 2
gradually 1
greets 1
grief 1
grocery 1
guessed 1
hardly 1
has 1
have 2
he 5
head 1
heavily 1
her 6
himself 2
his 21
hobbies 1
home 2
house 5
housefor 1
household 2
houses 1
however 1
husband 2
ignorant 1
important 1
in 7
include 1
indeed 1
insistence 1
insists 1
intelligent 1
intensely 1
interests 1
interrelationships 1
into 1
intoxicated 1
involved 1
is 16
isolation 1
issues 2
its 4
jealous 1
join 1
kamal 2
key 1
khadija 3
largely 1
late 1
latenight 1
law 1
leave 1
lives 1
living 1
local 1
long 1
looks 1
lover 1
maintain 2
major 1
marital 1
marriage 3
marriageable 1
maryam 1
matter 1
maturation 1
meal 1
meanwhile 2
mediators 1
meets 1
mellow 1
members 2
men 1
money 1
more 2
mother 2
movement 1
much 1
music 3
muslim 1
must 1
namealsayyid 1
nationalist 1
nature 1
negotiate 1
neighbor 1
night 2
nighttime 1
not 1
novel 4
numerous 1
obedience 1
observed 1
occasionally 1
occupation 1
of 26
officially 1
on 3
once 1
one 1
only 1
opening 1
openly 1
opinionated 1
or 3
order 1
other 1
out 1
particularly 3
parties 1
patriarch 2
peace 1
permits 1
philandering 1
piety 1
pines 1
playing 1
pleased 1
pleasures 1
plot 2
political 2
predilections 1
preparing 1
presence 1
proceed 1
prospect 1
prostitutes 1
provide 1
provides 2
questioning 1
refusal 1
relationships 1
represses 1
resentment 1
return 1
rises 1
routine 1
rules 1
same 2
scope 1
serious 1
set 2
sexual 1
shares 2
sharptongued 1
she 2
similar 1
since 1
sister 1
sisters 1
so 1
sobriety 1
socialising 1
soldiers 1
son 3
sons 2
source 1
spends 1
stays 1
store 1
story 1
street 1
stresses 1
strict 2
structure 1
student 1
subsequent 2
subversion 1
supreme 1
take 1
tambourine 1
tastes 1
temporal 1
that 3
the 52
their 4
theme 1
themselves 1
they 1
this 1
through 1
time 1
to 13
total 1
tries 1
tyrannical 1
unbeknownst 1
understands 1
unquestioning 1
up 1
upon 1
very 1
violent 1
when 1
where 1
which 2
who 7
whole 1
whose 1
why 1
wider 2
wife 4
willfully 1
wine 1
with 11
woman 1
women 2
works 1
woven 1
yasin 8
young 2
