34305380
/m/0hznfm8
/m/0hznfm8
Lee Goldberg

100 1
a 3
adrian 1
an 1
and 1
arrest 1
arrested 1
as 1
been 1
bob 1
case 1
charges 1
consider 1
constant 1
consultant 1
continuous 1
crisis 1
department 1
during 1
except 1
financial 1
fires 1
francisco 1
fraud 1
guard 1
has 1
him 1
his 1
house 1
in 1
invested 1
investor 1
is 2
just 1
key 1
learns 1
leaving 1
life 1
media 1
million 1
monk 3
murdered 1
natalie 1
of 1
on 1
orchestrating 1
police 1
prime 1
san 1
savings 1
scrutiny 1
sebes 3
suspect 1
teeger 1
that 1
the 4
to 1
under 1
who 1
with 2
witness 1
