21770159
/m/05mqr5h
/m/05mqr5h
Scott Spencer
1986-04-12
a 5
about 1
absorbed 1
activist 1
alive 1
an 1
and 5
approaches 1
as 1
aspiring 1
assist 1
become 1
becomes 2
begins 1
book 1
brink 1
but 1
by 2
campaign 1
candidacy 1
carbomb 1
changed 1
chilean 1
congressional 1
convinced 1
democratic 1
despises 1
different 1
during 2
fear 1
fielding 1
finding 1
for 1
fully 1
has 2
hated 1
he 3
heard 1
his 1
ideologies 1
if 1
illinois 1
insanity 1
is 7
killed 1
later 1
lawyer 1
liberals 1
lost 1
love 1
lover 1
mission 1
obsessed 1
occasions 1
of 1
offered 1
on 1
out 1
passionate 1
pierce 4
political 2
politician 1
pushed 1
refugees 1
sarah 1
seat 1
seen 1
several 1
so 1
social 1
story 1
system 2
terrorist 1
the 6
their 1
to 4
two 1
vastly 1
who 1
williams 4
with 2
years 1
