12236001
/m/02vw_fk
/m/02vw_fk
Rodman Philbrick
2005
a 5
and 4
any 1
are 1
at 2
bar 1
big 1
break 1
brother 1
but 1
can 2
chance 1
come 1
could 1
dangerous 1
dark 1
desert 1
dream 2
even 1
explode 1
fetch 1
for 1
from 1
great 1
has 1
he 3
her 1
his 1
horses 1
if 1
in 2
is 2
joe 2
keep 1
knows 1
lady 1
lifetime 1
like 1
luck 1
none 1
obsession 1
of 1
offered 1
on 1
passion 1
pony 1
promised 1
ranch 1
respect 1
ride 1
roy 4
run 1
runs 1
secret 1
send 1
shared 1
smoke 1
soon 1
that 4
the 4
their 2
them 1
they 1
time 1
to 1
true 1
up 2
when 1
whole 1
wild 1
wind 1
wins 1
world 1
