9280145
/m/0282vpj
/m/0282vpj
Ann Rinaldi
1997
{"/m/0dwly": "Children's literature", "/m/02xlf": "Fiction", "/m/0hwxm": "Historical novel"}
14yearold 1
15 1
1865 2
a 4
abraham 1
accomplices 1
acquaintance 1
across 1
actually 1
advance 1
advice 1
after 3
afterward 1
all 1
alone 1
along 1
also 2
an 2
and 9
annie 6
april 1
are 1
as 2
assassinated 1
assassination 1
assistant 1
at 2
attend 1
authorities 1
because 1
become 2
behind 1
being 1
boarding 1
bodies 1
body 2
booth 2
bransby 2
but 2
by 3
cadaver 1
can 1
care 1
changing 2
civil 2
close 1
comes 1
costs 1
darkness 1
day 1
dc 1
death 2
deeds 1
degraaf 1
died 1
dies 2
discoveries 1
disgusted 1
doctor 2
dr 2
during 1
dwarf 1
ella 1
emily 18
end 1
execution 1
father 1
field 2
fighting 1
figures 1
final 1
first 1
flees 1
for 6
ford 1
freed 1
friend 1
go 1
goes 1
hanged 1
harbored 1
has 2
have 1
he 1
hearing 1
help 1
helping 2
her 11
his 1
hopes 1
house 2
housekeeper 1
however 2
husband 1
illegal 1
in 8
instead 1
involved 2
is 9
john 1
johnny 1
later 1
learns 1
leaving 2
left 1
like 1
lincoln 1
live 3
lives 2
living 1
marietta 2
mary 1
maude 3
may 2
meanwhile 1
medical 4
meets 2
merry 1
more 2
mother 8
mrs 2
name 1
near 1
not 2
now 1
nurse 2
obtain 1
of 4
on 2
one 1
only 2
other 1
out 1
over 1
pigbush 1
pigbushes 1
police 1
possibly 1
president 1
publicly 1
purpose 1
purposes 1
quite 1
realizes 1
reluctantly 1
replies 1
robert 4
runs 1
save 1
sells 1
servant 1
several 1
she 5
sixteenyearold 1
snatching 1
sometimes 1
soon 1
stealing 1
story 1
street 1
strives 1
student 1
surrat 1
surratt 3
suspicion 1
talented 1
tells 1
that 6
the 17
theatre 1
theft 1
then 1
times 1
to 4
uncle 5
under 1
union 1
valentine 9
wanted 1
war 2
was 2
washington 3
while 1
who 2
whose 1
wilkes 1
wish 1
with 9
would 1
