1735052
/m/05s0mn
/m/05s0mn
Clive Barker

a 16
abandoned 1
able 3
above 1
accompany 1
actions 1
actually 1
aflame 1
after 4
alberta 1
all 1
along 1
although 1
an 2
and 22
animalistic 1
another 2
apparent 1
apparently 1
appear 1
appeared 1
appears 1
are 1
arrested 1
arrive 2
as 6
at 2
attack 1
babette 1
banished 1
baphomet 2
became 1
because 1
been 1
before 1
begins 2
behind 1
being 3
believe 1
beneath 1
bind 1
bites 1
blanked 1
body 2
boone 15
both 1
boyfriend 1
break 1
brings 1
brutal 1
but 4
button 1
by 8
calgary 1
can 1
canada 1
capture 1
captured 1
cemetery 2
chased 1
child 1
city 2
committed 2
completely 1
concerns 1
confrontation 1
confronted 1
consciousness 1
convince 1
corpse 1
course 1
creator 1
death 2
decides 1
decker 12
degenerated 1
demanded 1
depart 2
deserted 1
destroyed 1
disappearance 1
discover 1
discovers 2
dismembered 1
does 1
doing 1
dreams 1
during 1
either 1
eleven 1
encounters 1
ends 1
engage 1
enough 1
enter 1
entrance 1
escape 1
escapes 1
events 1
eventually 1
everyone 1
faced 1
fact 1
fails 1
fight 1
final 1
finds 1
fire 1
flee 1
following 1
for 2
forcing 1
former 1
friends 1
from 4
go 1
goes 2
ground 1
had 1
has 4
have 3
he 13
hearing 1
held 1
her 4
him 6
himself 4
his 10
home 1
horror 1
hotel 2
houses 1
however 1
human 2
hurriedly 1
illness 1
in 7
informed 1
initially 1
inn 1
innocent 1
inside 1
insidious 1
institutionalize 1
intending 1
is 19
it 2
jail 1
kill 2
killed 3
killer 1
killing 1
killings 1
kills 1
kind 1
known 2
large 1
leave 1
leaves 1
lies 1
like 1
living 1
lori 11
lover 1
lylesburg 1
makes 1
man 1
many 2
mask 1
meet 1
meets 1
member 1
mental 1
midian 14
mind 1
monsters 1
morgue 1
mother 1
murderous 1
murders 3
mutilation 1
named 2
narcisse 1
narrowly 1
nearby 2
new 2
nightbreed 7
nonetheless 1
not 2
of 13
off 1
offers 1
on 1
one 2
or 3
others 1
otherwise 1
out 3
overrun 1
part 1
parts 1
people 1
personality 1
place 2
police 4
policemen 1
possesses 1
psychiatrist 1
pursues 1
quickly 1
rachel 1
recall 1
recently 1
refused 1
remain 1
remaining 1
responsible 1
restaurant 1
return 3
returns 2
reveals 2
sanctuary 1
save 1
saved 1
scapegoat 1
search 1
seeing 1
seek 1
sees 1
semimythical 1
serial 1
serious 1
session 1
set 1
setting 1
she 3
sheryl 5
shot 1
small 1
so 1
soon 3
state 1
stayed 1
story 1
suffering 1
terrorized 1
that 10
the 35
them 4
there 1
these 1
they 4
this 2
those 1
to 27
town 2
trail 1
traveled 1
travelling 1
travels 1
tries 1
truth 1
two 2
unaware 1
underground 2
unspecified 1
up 3
use 1
vanishes 1
was 2
way 1
when 2
where 4
which 2
while 1
who 11
with 5
woman 1
young 1
