12310049
/m/02vzw78
/m/02vzw78
Booth Tarkington

a 8
actress 1
adolescence 1
adult 1
after 1
among 1
an 3
and 11
as 3
aspiring 1
at 5
attention 1
babytalk 2
bad 1
baxter 1
baxters 1
be 1
beards 1
beauty 1
become 1
believes 1
belle 1
book 1
breakfast 1
captivates 1
center 1
changed 1
child 1
circle 1
comfortable 1
concludes 1
condition 2
constant 1
constantly 1
court 1
dances 1
dead 1
develops 1
do 1
dog 1
dresssuit 1
eighteen 1
embarrass 1
enjoys 1
equal 1
even 1
evening 1
evenings 1
everpresent 1
exalted 1
family 5
fathers 1
feels 1
flashforward 1
flirtatious 1
flopit 1
flowers 1
forever 1
found 1
friends 1
genesis 1
goes 1
grownup 1
handyman 1
has 4
he 5
her 3
him 2
himself 2
hindoos 1
his 10
hoards 1
holds 1
home 1
hope 1
host 1
howling 1
humiliate 1
in 4
inadvertently 1
indeed 1
instantly 1
instead 1
interest 1
irritation 1
is 3
it 2
jane 1
lady 1
lap 1
last 1
leaves 1
life 2
like 1
lola 6
love 2
lovelorn 1
lovestruck 1
maeterlinckinspired 1
making 1
manner 1
marriages 1
mature 1
middleclass 1
milady 1
mostly 1
negro 1
neighbors 1
not 1
now 1
obnoxious 1
of 7
on 1
opinion 1
other 1
outoftown 1
parcher 2
parents 1
parties 1
peculiar 1
persist 1
picnics 1
placid 1
play 1
poem 1
pratt 1
progresses 1
prop 1
pursuing 1
responsible 1
seriousminded 1
share 1
she 2
showing 1
sister 1
smile 1
soonregretful 1
spends 1
steals 1
summer 3
sure 2
survive 1
survived 1
talks 1
tenyearold 1
that 2
the 15
their 1
they 2
tiny 1
to 7
tolerantly 1
touched 1
town 1
train 1
treating 1
trials 1
true 1
turn 1
until 1
visitor 1
wears 1
when 1
wherever 1
white 1
who 1
will 1
william 6
williams 1
with 2
writes 1
youths 1
