2534610
/m/07ljgr
/m/07ljgr
Judy Blundell

{"/m/06n90": "Science Fiction", "/m/014dfn": "Speculative fiction", "/m/0dwly": "Children's literature", "/m/02xlf": "Fiction"}
a 2
alone 1
amongst 1
an 2
and 5
arms 1
assassination 1
asset 1
at 1
attempt 1
back 1
be 1
because 1
bring 1
but 1
cease 1
cerasi 1
civil 1
close 1
completed 1
content 1
crossfire 1
daan 1
decides 1
decision 1
destroy 1
discovers 1
everything 1
exapprentice 1
factions 1
feels 1
fight 1
for 1
former 1
friend 1
goes 1
government 1
has 1
he 5
his 2
however 1
immediately 1
in 2
internal 1
investigating 1
investigation 1
is 4
jedi 5
jinn 1
kenobi 1
killed 1
knows 1
left 1
made 1
master 1
meanwhile 1
melida 1
melidadaan 1
not 1
notice 1
now 1
obiwan 7
of 3
on 2
once 1
one 1
open 1
order 3
part 1
planet 1
plot 2
quigon 3
receives 1
rejoin 1
return 2
returns 1
so 1
soon 1
start 1
struggle 1
succeed 1
task 1
temple 3
that 2
the 17
their 1
themselves 1
they 2
thickens 1
to 7
two 1
under 1
unite 1
uniting 1
upon 1
war 1
welcomed 1
when 1
while 1
wishes 1
with 3
would 1
wrong 1
yoda 1
young 3
