15608
/m/03_b7
/m/03_b7
Dalton Trumbo
1939
{"/m/02xlf": "Fiction", "/m/05hgj": "Novel"}
a 7
after 2
all 1
also 1
an 1
and 7
arms 1
around 1
artillery 1
as 1
at 1
attempts 1
awakens 1
banging 1
be 2
bed 1
been 1
being 1
between 1
blast 1
body 1
bond 1
bonham 1
box 1
but 3
by 2
can 1
caught 1
code 1
communicates 1
condition 1
control 1
country 1
decides 1
desire 1
desires 1
die 1
doctors 1
drifts 1
ears 1
exploding 1
eyes 1
face 1
family 1
fantasy 1
finds 1
first 1
forms 1
functions 1
girlfriend 1
given 1
glass 1
gradually 1
granted 1
had 1
has 1
he 10
head 1
him 1
his 13
horrors 1
hospital 1
however 1
i 1
implied 1
in 8
including 1
is 1
it 1
joe 4
later 1
leaving 1
legs 1
life 2
live 1
lost 1
mind 1
morse 1
myths 1
natural 1
neither 2
nor 1
nurse 1
of 6
old 1
on 1
order 1
others 1
own 1
perfectly 1
pillow 1
placed 1
plight 1
prisoner 1
realities 1
reality 1
realizes 2
reflects 1
remembers 1
remove 1
rest 1
senses 1
serving 1
shell 1
show 1
soldier 1
sorts 1
successfully 1
suffocation 1
suicide 1
teeth 1
that 6
the 5
to 3
tongue 1
toured 1
tracheotomy 1
true 1
upon 1
war 3
which 1
who 1
will 2
wishes 1
with 3
world 1
young 2
