3307869
/m/094qcv
/m/094qcv
Diana Gabaldon
2005-09-27
{"/m/014dfn": "Speculative fiction", "/m/02xlf": "Fiction", "/m/01qxvh": "Romance novel", "/m/0hwxm": "Historical novel"}
18th 1
american 1
and 4
beginning 1
between 1
boil 1
british 1
century 1
claire 1
colonies 1
concluded 1
cross 1
crown 1
faced 1
facing 1
fiery 1
fires 1
following 1
for 1
forthcoming 1
fraser 1
frasers 1
freedom 1
he 1
her 1
his 1
homestead 1
hope 1
husband 1
in 2
is 2
isolated 1
jamie 2
live 1
loyalty 1
new 1
novel 1
oath 1
of 3
on 1
over 1
peacefully 1
political 1
politics 1
preceding 1
revolution 1
suddenly 1
swore 1
the 11
their 1
to 4
trying 1
turmoil 1
unrest 1
walking 1
wife 1
with 2
world 1
