17164647
/m/043pfwr
/m/043pfwr
Nicola Upson
2008-03-06
{"/m/0lsxr": "Crime Fiction", "/m/05hgj": "Novel"}
130s 1
a 7
acquaintance 1
adopted 1
after 1
again 1
an 1
and 8
apparently 1
archie 1
are 2
arguably 1
around 1
arriving 1
as 2
at 2
attend 1
backstabbing 1
bag 1
based 1
been 3
begins 1
berwickupontweed 1
best 1
bestselling 1
board 1
book 1
bordeaux 1
career 1
carefully 1
casting 1
circumstance 1
classic 1
clues 1
combines 1
crime 1
daughter 1
daviot 1
dead 1
death 1
detective 1
die 1
elspeth 2
enters 1
excitement 1
famous 1
fan 1
ffrangcondavies 1
final 1
follows 2
found 1
friend 1
friendship 1
from 2
gielgud 1
girl 2
gordon 1
gwen 1
has 1
hat 1
hatmakers 1
have 2
having 1
her 6
here 1
in 5
inspector 1
intended 1
intrigue 1
introduced 1
is 4
it 1
john 1
johnny 1
josephine 1
journey 1
leads 2
left 1
life 1
london 3
lover 1
lydia 1
made 1
may 1
meet 1
meets 1
more 1
murder 1
mystery 1
narrative 1
novel 1
novelist 1
of 11
old 1
on 5
order 1
pair 1
penrose 2
performance 1
performances 1
pin 1
planned 1
play 3
plot 1
presumably 1
pseudonym 1
real 1
renowned 1
revolves 1
richard 1
run 1
saw 1
scotland 1
see 1
seems 1
separate 1
set 1
she 1
simmons 1
so 1
somme 1
soon 1
stabbed 1
story 1
strike 1
suggest 1
taking 1
target 1
tey 5
that 1
the 29
theatre 1
theatres 1
there 1
time 1
to 5
train 2
two 2
under 1
up 1
upon 1
version 1
way 1
we 2
week 1
which 1
whom 1
whose 1
with 3
woman 1
work 1
world 2
written 1
young 1
