10830651
/m/02qrcmt
/m/02qrcmt
Patricia Cornwell
2003
a 3
abandoned 1
ability 1
actions 2
after 1
all 2
and 7
apparent 1
apparently 1
architect 1
are 1
as 3
associates 1
back 1
balance 1
beginning 1
behind 1
benton 1
bizarre 1
blinded 1
blow 1
blowfly 1
but 2
by 3
cell 1
chandonne 1
changed 1
chief 1
class 1
closest 1
colleague 1
commit 1
consultant 1
contacts 1
continues 1
corpses 1
death 1
deformed 1
diminish 1
dispose 1
does 1
eggs 1
elegant 1
eliminating 1
ends 1
establishing 1
events 1
every 1
evidence 1
examiner 1
first 1
florida 1
fly 1
for 1
forces 1
forensic 1
fortunes 1
four 1
from 1
further 1
get 1
grief 1
grow 1
has 2
her 15
herself 1
his 1
home 1
horrifying 1
in 7
incarcerated 1
incidents 1
invisibly 1
involves 1
is 2
it 1
jeanbaptiste 1
kay 1
killing 1
knows 1
larvae 1
last 1
lays 1
let 1
life 3
living 1
lucy 2
man 1
medical 1
murder 1
niece 1
not 2
novel 1
nuance 1
of 4
on 2
one 1
orchestrated 1
other 1
own 1
past 1
people 1
poland 1
precinct 1
premeditated 1
prison 1
private 1
quietly 1
rage 1
resignation 1
rest 1
richmond 1
row 1
scarpetta 4
shepherding 1
slowly 1
some 1
sometimes 1
soul 1
still 1
strongest 1
szczecin 1
terrify 1
texas 1
the 11
them 1
then 2
there 1
those 2
threaten 1
threatened 1
to 6
towards 1
unknown 1
using 1
virginia 2
wesley 1
which 2
who 2
will 1
with 1
within 1
wolfman 1
