3719648
/m/09x2ks
/m/09x2ks
Robert Ludlum
1970
a 3
agent 1
american 1
an 2
and 4
are 1
back 1
billionaire 1
book 1
but 1
command 1
contents 1
corrupt 1
decades 1
defect 1
defection 1
departments 1
destroy 1
divulge 1
during 1
elite 1
entails 1
few 1
file 2
for 1
from 1
greatest 1
high 1
his 2
if 1
ii 1
illustrious 1
in 2
information 1
inheritance 1
is 2
itself 1
known 1
made 1
many 1
member 1
most 1
mother 1
nazi 1
of 5
on 1
one 1
received 1
release 1
reputations 1
scarlatti 1
secret 1
service 1
shorten 1
smallest 1
soldier 1
story 1
takes 1
tells 1
that 2
the 10
there 1
they 1
to 1
ultratopsecret 1
war 2
washington 1
western 1
whose 1
will 2
willing 1
word 1
working 1
world 3
