27226391
/m/0bwj6tj
/m/0bwj6tj
Lin Carter

a 6
abbreviated 1
accidentally 1
acquires 1
adventures 1
after 1
against 3
all 2
almost 1
also 1
an 4
and 9
another 1
arangkhr 2
are 2
art 1
as 5
at 1
author 1
babe 1
battle 1
beam 1
became 1
become 1
becomes 1
been 2
boy 1
but 1
by 2
call 1
callisto 2
cambodia 1
cambodian 1
captive 1
carter 7
catch 1
caught 1
city 3
climatic 1
comes 1
companion 2
conclusion 1
content 1
creature 1
cut 1
dark 1
darloona 1
defends 1
device 1
dog 1
duly 1
earth 1
easier 1
editor 1
encounter 1
end 1
entry 1
escaped 1
even 1
evil 1
expedition 1
extraordinary 1
faithful 1
falls 1
fantastic 1
finally 1
finds 1
forest 1
fortunately 1
from 3
had 2
hand 1
hardly 1
has 2
have 1
he 4
hero 2
hidden 1
him 2
himself 3
his 4
hold 1
hoping 1
immense 1
imprisoned 1
in 9
indeed 1
inhabitants 1
interest 1
interplanetary 1
into 1
is 5
it 2
its 2
jandar 6
join 1
jonathan 1
jovian 1
jungle 1
killed 1
kingdom 1
kuur 1
lair 1
lankar 1
last 1
later 2
learn 1
like 1
likening 1
lin 1
literal 1
literature 1
local 1
love 1
manages 2
manuscripts 1
memoirs 1
mind 3
moon 3
mooning 1
much 1
name 1
native 1
nativestyle 1
of 15
on 1
once 1
one 1
or 2
othode 2
out 2
over 1
participant 1
perils 1
permit 1
personality 1
portrayed 2
possibilities 1
princess 1
pronounce 1
protagonist 1
protector 1
rather 1
read 1
recipient 1
redactor 1
rescued 1
resume 1
return 1
revealed 1
role 1
ruined 1
saves 1
secret 1
seen 1
sequel 1
series 1
shondakar 1
sights 1
sojourn 1
soon 1
spends 1
spiderweb 1
story 1
subsequently 1
taken 1
tarin 3
teleportation 1
teleported 1
than 1
thanator 2
the 25
them 1
they 2
this 1
throughout 1
to 14
tourist 1
transported 1
trapped 1
travels 1
uncover 1
various 1
vastodon 1
volume 2
warriors 1
web 1
well 1
welllike 1
what 1
which 3
who 2
with 2
wizards 3
wonders 1
woods 1
works 1
