528860
/m/02lz73
/m/02lz73
Edith Wharton
1920
{"/m/02xlf": "Fiction", "/m/01qxvh": "Romance novel", "/m/05hgj": "Novel"}
a 9
abandon 1
about 1
absorbing 1
accelerate 1
accepts 1
admiration 1
affair 1
afraid 1
after 4
again 1
aggrieve 1
agree 1
agreeing 1
agrees 3
allowance 1
alone 1
already 1
america 1
and 17
announces 1
anticipating 1
apart 1
apartment 3
appearance 1
archer 1
are 4
arranged 1
arrival 1
arriving 1
as 2
asks 1
at 3
attempts 1
back 2
bad 1
balcony 1
be 3
beautiful 2
because 1
become 1
becomes 1
been 1
begs 1
being 1
best 1
bride 1
bridetobe 1
building 1
but 8
by 2
can 1
care 2
cease 1
children 1
choice 1
city 2
comes 1
considers 1
consummate 2
corresponds 1
count 5
countess 3
cousin 2
crisis 1
cross 1
cut 1
date 1
death 1
decided 1
decides 2
decision 2
desirable 1
despairing 1
desperately 1
despite 2
did 1
discovers 2
disgrace 1
dissuade 1
distant 1
disturbs 1
divorce 2
divorcing 1
do 1
does 1
done 1
doubt 2
earlier 1
ellen 25
empty 1
end 1
europe 5
ever 1
exotic 1
fails 1
falling 1
families 1
family 5
farewell 1
fastidious 1
fate 1
finally 1
finds 1
first 1
flouts 1
follow 2
for 8
forgetting 1
found 1
from 3
frustrated 1
gentleman 1
going 1
grandmother 1
grows 1
guesses 1
had 3
happily 1
has 8
have 1
he 13
heir 1
her 19
herself 1
highly 1
him 5
his 14
hopelessly 1
horrified 1
hotel 1
how 1
however 1
husband 1
ideal 1
if 1
imagined 1
implication 1
in 11
independence 1
interrupts 1
intrigued 1
is 12
island 1
it 2
its 1
joyless 1
later 1
law 1
lawyer 1
learned 1
learning 1
leave 1
leaving 1
life 1
lives 2
living 2
longer 1
love 4
loveless 2
loves 1
loving 1
makes 1
making 1
marriage 4
married 1
marry 1
marrying 1
match 1
may 16
meet 1
members 1
mind 1
mistress 1
money 1
morning 1
mother 1
new 6
newland 20
newport 1
night 1
no 1
not 4
obsessed 1
of 14
off 1
old 1
olenska 2
olenski 2
on 1
once 1
one 1
only 1
other 1
outside 2
paris 2
partner 1
party 2
paths 1
per 1
perfect 1
polish 1
possess 1
potential 1
pregnancy 1
pregnant 1
pressure 1
process 1
product 1
prospect 1
pushing 1
reason 2
recalled 1
receives 1
reconcile 1
refused 1
refuses 1
reinstate 1
relationship 1
relents 1
remain 2
remained 1
remaining 1
renewed 1
reputation 1
resolves 1
return 3
returned 1
returning 1
reveals 1
rhode 1
rules 1
rumor 1
sake 1
save 1
scandal 1
scandalously 1
seeing 2
seeks 1
seems 1
sends 1
separated 2
separating 1
sexually 1
she 10
sheltered 1
sick 1
so 1
social 2
society 3
son 3
sooner 1
still 1
stunned 1
succeeds 1
sure 1
surrendering 1
suspected 1
taint 1
telegram 1
tell 2
tells 1
terrified 1
that 12
the 22
their 5
then 2
there 1
they 1
thirtyyearold 1
this 1
though 1
throwing 1
time 1
to 40
told 1
tolerated 1
trapped 1
tries 1
twentysix 1
two 1
unable 1
unacceptable 1
under 1
up 3
visit 1
waits 1
walks 1
washington 1
watching 1
way 1
wed 1
wedding 1
weeks 1
welland 2
when 1
while 2
who 4
wife 1
will 1
wishes 1
with 5
without 1
worldly 1
years 1
yet 1
york 6
