7097369
/m/0h40x8
/m/0h40x8
Jack Vance


a 7
about 1
accepts 1
advances 1
against 1
agent 1
all 1
amorous 1
an 6
and 10
another 3
are 3
as 1
attraction 1
attractive 1
beautiful 1
been 1
betty 6
both 1
bound 1
boyfriend 1
breaks 1
bursts 1
but 2
by 2
cabin 2
california 1
captain 1
cards 1
claims 1
come 1
comingofage 1
could 1
develops 1
disabuses 1
dismay 1
doubt 1
dozen 1
drinks 1
el 1
embarking 1
engages 1
fellow 1
fend 1
fianc 1
fighting 1
find 1
finsch 7
flirtation 1
for 2
found 1
francisco 1
freighter 1
from 1
get 2
girl 1
goes 1
had 1
half 1
handled 1
hard 1
has 3
have 1
he 3
her 4
herself 2
him 3
himself 1
his 2
holding 1
immediately 1
in 5
including 1
infuriates 1
interest 1
into 1
introducing 1
involving 1
is 2
italian 1
italy 1
just 1
leaves 1
line 1
manoftheworld 1
marrying 1
mik 1
mild 1
mind 1
missing 1
murderer 1
mysterious 1
night 1
no 3
not 1
note 1
notion 1
of 4
off 1
offer 1
old 1
older 1
on 2
one 1
other 1
out 1
panama 1
passenger 1
passengers 2
pitted 1
ports 1
pride 1
proof 1
put 1
revenge 1
salvador 1
san 1
seemingly 1
she 4
shipping 1
situation 1
sojourn 1
somehow 1
spain 1
start 1
still 1
suicide 2
suspicions 1
takes 1
tells 2
that 3
the 7
them 1
there 2
thrashed 1
time 1
to 2
tom 6
two 2
typewritten 1
up 2
venezuela 1
warming 1
was 1
way 1
when 2
which 1
who 2
wife 1
will 1
wished 1
with 2
wounded 1
