14531370
/m/03d6lrq
/m/03d6lrq
William Monahan
2000
15 2
a 19
abandoned 1
about 3
across 1
admiral 3
admits 1
after 2
along 1
also 1
amongst 1
and 15
ankles 1
another 1
army 1
around 1
arrival 1
arrives 1
asks 1
assistant 3
at 5
author 1
avails 1
back 2
because 2
becomes 1
been 1
before 1
begins 1
being 2
believes 1
benbow 3
billiards 1
bitter 1
blocks 1
blows 1
boat 2
boston 1
brave 1
break 1
brings 1
briscoe 5
but 1
by 6
can 1
captain 1
career 1
caribbean 1
carried 1
castro 10
chained 1
cinder 1
coast 1
coerced 1
collects 1
comes 1
completely 1
confuses 1
contract 1
cook 1
craft 1
crashes 1
crewing 1
critical 1
crossdressing 1
dauthor 1
dead 1
debt 1
decides 3
depart 1
detectives 1
director 1
down 1
dragged 2
drug 2
drugs 1
drunk 1
dump 1
during 1
eggman 1
ends 1
england 1
engulfed 1
escapes 1
falls 2
false 1
few 1
fiction 3
finally 1
fire 1
flames 1
florida 1
for 8
force 1
from 4
george 2
gets 1
glowery 4
guest 1
guests 1
had 1
has 2
hawthorne 7
he 13
held 1
her 1
him 6
himself 3
his 9
however 2
if 1
immediately 2
in 8
incurred 1
informs 1
inn 7
innkeeper 2
inscription 1
interrogate 1
intimidates 1
into 5
irish 1
is 13
island 1
it 1
italy 1
jesus 2
journalist 1
just 1
killed 1
kills 1
knocking 1
land 1
landing 1
lead 1
learns 1
leave 1
leaving 1
lighthouse 5
literary 1
lobster 1
location 1
lodge 1
magdalene 1
mainland 1
meanwhile 1
meekly 1
meets 1
miami 1
million 2
mistakenly 1
morning 1
morte 1
motor 1
mr 10
name 1
named 1
new 3
next 1
night 1
noreaster 1
notices 1
novel 1
of 13
off 4
on 4
one 2
order 1
over 1
overboard 1
painted 1
painter 1
part 1
pay 1
payment 1
peddle 1
peers 1
people 1
picasso 12
picking 1
procure 1
professor 1
property 1
prostitute 3
psychotic 1
raging 1
rampages 1
registered 1
rejection 1
republican 1
rescues 1
restaurant 1
returns 1
rival 1
rocks 1
round 1
rubble 1
running 1
runs 1
sabotaging 1
sailboat 1
says 1
sea 3
searching 1
seaside 1
services 1
sex 1
show 1
shows 1
smuggler 1
smuggling 1
some 1
spa 1
speak 1
starts 1
stole 1
storm 5
story 1
stranded 1
stuck 1
suffers 1
surrounding 1
swamped 1
table 1
take 1
takes 1
tasered 1
that 3
the 51
them 1
they 1
thinking 1
this 1
threatens 1
through 1
tide 1
tim 1
time 1
to 16
top 1
towards 1
town 1
train 1
trying 1
two 1
tyburn 2
unconscious 1
under 1
unhappy 1
until 1
up 7
wassermann 1
water 1
weekend 1
weighed 1
when 3
where 4
while 2
who 5
wife 4
winter 1
with 7
worker 1
workshop 3
worries 1
writer 1
york 1
