27123800
/m/0gjdvx6
/m/0gjdvx6
Lois McMaster Bujold
2010-10-19
{"/m/06n90": "Science Fiction"}
3nbspyears 1
a 7
abandoned 1
after 2
allergic 1
along 1
an 3
and 5
are 1
armsman 1
arousing 1
assisted 1
at 1
attempt 1
attendees 1
avoids 1
back 1
be 1
because 1
being 1
belowground 1
boy 2
building 1
by 1
capture 1
caught 1
causes 1
chickens 1
chrysanthemum 1
conference 1
corporation 1
cryoburn 1
cryocombs 1
cryocorp 1
cryonics 1
cryorevival 1
cured 1
dance 1
day 1
death 1
detailed 1
diplomatic 1
disused 1
drug 1
durona 1
dying 1
elevenyearold 1
emperor 1
encounters 1
escapes 1
extremely 1
facilities 1
finds 1
follows 1
from 1
frozen 2
go 2
going 1
gregor 1
group 1
he 2
helps 1
him 3
his 4
hopes 1
hyperactive 1
immunity 1
in 5
into 1
introduces 1
investigate 1
is 6
jackson 1
jin 3
kiboudaini 2
kidnap 1
komarr 1
living 2
local 1
made 1
major 1
miles 7
mirror 1
narrative 1
newnbsphope 1
of 4
old 1
on 4
one 1
opening 1
or 2
other 2
outcasts 1
people 1
pets 1
piece 1
place 1
planet 1
points 1
raven 1
reaction 1
really 1
revived 1
reviving 1
roic 2
sato 1
sent 1
seven 1
sick 1
six 1
society 1
specialist 1
stored 1
subsidiary 1
surface 1
suspicions 1
takes 1
the 8
this 1
those 1
three 1
to 9
together 1
used 1
view 1
way 1
what 1
when 1
where 1
which 1
white 1
whitechrys 1
who 1
whole 1
with 2
years 1
