20062830
/m/04y7y70
/m/04y7y70
Zoë Heller
2008
11 1
162 1
18 1
2002 1
72 1
a 39
about 2
abuse 2
accordance 1
according 1
accused 1
active 1
activist 1
admits 1
adopt 2
adopted 1
affair 1
affairs 1
african 1
after 6
again 3
age 1
agenda 1
agreement 1
alienated 1
all 2
also 2
although 4
ambition 1
american 3
an 4
and 23
another 1
answer 1
approached 1
appropriate 1
arab 2
are 1
around 2
artist 1
as 4
assets 1
at 12
atheists 1
attacks 1
attitudes 1
attraction 1
attractive 1
audrey 12
away 2
based 1
be 4
bears 1
become 3
been 1
before 1
behaviour 1
being 2
berenice 1
better 1
blind 1
bore 1
both 1
break 1
but 4
by 3
called 1
can 1
career 1
carefree 1
case 1
castro 1
chance 1
characteristics 1
charismatic 1
child 1
childhood 1
childless 1
children 2
chosen 1
civil 1
claims 1
close 1
collapses 1
colleague 1
coma 1
come 1
complete 1
complying 1
condition 1
consent 1
contracts 1
country 1
couple 1
court 1
cuba 1
curiosity 1
current 1
date 1
deadend 1
death 2
decades 1
dedicates 1
defense 1
departure 1
develops 1
dies 1
disadvantaged 1
disillusioned 1
display 1
distressing 1
do 1
doctors 1
does 2
drug 1
drugs 2
during 2
dying 1
efforts 1
encouraged 1
end 1
equipment 1
eventually 1
exhibits 1
existence 1
extramarital 1
eye 1
falls 1
families 1
family 7
far 1
father 4
fathermdashwhose 1
fear 1
feel 1
feels 1
few 1
fight 2
first 2
flat 1
follow 1
for 5
former 1
foundation 1
four 2
fourteen 1
fouryear 1
freelance 1
friend 1
from 7
fundamental 1
furious 1
future 1
gather 1
gathering 1
generally 1
girlfriend 1
girls 1
give 1
glamorous 1
greenwich 1
had 2
halfseriously 1
happiness 1
has 13
hates 1
have 2
having 1
he 5
held 1
help 1
her 28
hesitation 1
him 5
his 7
history 1
home 1
honesty 1
honour 1
hospital 1
hospitalisation 1
hospitalised 1
hospitalmdashwhen 1
how 1
howard 1
however 1
husband 3
hypocrisy 1
illness 1
improve 1
in 14
incredulous 1
infection 1
inform 1
injustice 1
into 1
involved 1
is 18
it 2
its 1
jamil 1
jerusalem 1
jewish 1
job 2
joel 8
judaism 2
karla 4
labor 1
last 1
lawyer 3
leaves 1
leftist 1
leftwing 1
legal 1
lenny 3
liberal 1
life 6
lifesustaining 1
like 1
little 1
litvinoff 4
litvinoffs 1
live 1
london 2
long 1
longer 1
longterm 1
lover 1
lure 1
made 2
make 1
man 2
many 2
marriage 2
mason 1
meanwhile 1
meet 1
meets 2
members 1
might 1
mike 2
monsey 1
months 1
more 3
mother 1
movement 1
much 1
mutual 3
never 2
newfound 1
newspaper 1
no 1
nonobservant 1
not 4
nothing 2
novel 2
now 2
obesity 1
obvious 1
occurs 1
of 15
off 1
offer 1
on 5
onandoff 1
ongoing 1
only 1
oppose 1
or 1
orthodox 2
other 1
outlook 1
outwardly 1
overweight 1
own 2
owner 1
parents 1
party 1
passed 1
patient 1
patriarchal 1
photographer 1
place 1
possibly 1
postmemorial 1
pregnant 1
prematurely 1
preparing 1
pride 1
principles 1
prison 1
prominent 1
proof 1
pursue 1
questions 1
rabbi 1
radical 1
raised 1
rather 1
realizes 2
recently 1
reception 1
recover 1
refusal 1
relationship 1
remain 1
remained 1
representing 1
revelation 1
revolutionary 1
rights 1
rosa 4
same 2
satisfy 1
see 1
seeing 1
selfobsessed 1
senior 1
sent 1
sentence 1
september 1
serving 1
session 1
several 1
sex 2
shares 1
she 12
shop 1
short 1
shortly 1
since 1
single 1
sister 1
small 1
social 1
socialist 2
son 2
soon 1
sour 1
speak 1
spending 1
spite 1
spouse 1
start 1
starts 1
states 2
stay 2
still 1
stranger 1
stroke 2
study 1
substance 1
suburban 1
successful 1
suggests 1
summer 1
supporting 1
suspect 1
takes 1
taking 1
tanya 1
telling 1
terminating 1
terrorist 1
than 1
that 6
the 39
their 6
themselves 1
there 1
thereafter 1
they 5
this 2
thoroughly 1
thus 1
time 3
to 30
torah 1
traditional 1
tries 1
trust 1
truth 1
try 1
turn 2
turned 1
turns 1
two 2
typist 1
unattractive 1
unbeknownst 1
uncertain 1
unconscious 1
underneath 1
unexciting 1
union 1
united 2
university 1
up 1
using 1
veneer 1
village 1
visit 1
visual 1
wake 1
was 2
weak 1
weekend 1
weeks 1
were 1
when 3
where 1
which 2
while 2
who 5
whose 2
wife 1
will 2
wish 1
with 11
without 1
woman 3
worker 1
works 2
world 1
would 2
written 1
yearold 2
years 1
yeshiva 1
young 4
