7494666
/m/0263fwg
/m/0263fwg
Theodor Fontane
1892
a 5
after 1
all 1
although 1
and 9
attentions 1
away 1
becomes 1
before 1
begins 1
between 1
by 6
called 1
children 1
christine 5
companion 1
contrast 1
copenhagen 1
count 1
countess 1
court 1
danish 1
divorce 1
drowns 1
dull 1
ebba 2
efforts 1
engineered 1
ensues 1
fascinated 1
flirts 1
friends 1
from 1
funloving 1
great 1
haunted 1
he 2
helmuth 1
herself 1
him 1
his 3
holk 4
husband 1
in 2
is 5
lives 1
lonely 1
long 1
marriage 1
nature 1
not 1
nuns 1
of 3
on 1
only 1
pious 1
previous 1
princess 2
raised 1
rashly 1
realizing 1
reconciliation 1
rejection 1
rosenberg 1
sea 1
seeks 1
seem 1
seems 1
separation 1
serious 2
surface 1
that 1
the 6
their 1
to 2
two 1
unbearably 1
valley 1
violently 1
von 1
was 1
well 1
were 1
when 1
whereas 1
who 1
wife 2
with 3
years 1
young 1
