26019085
/m/0b6g_52
/m/0b6g_52
Ally Kennen
2009-01-05
{"/m/03mfnf": "Young adult literature"}
16yearold 1
a 4
able 1
and 3
arrives 1
at 1
away 1
be 1
beside 1
bites 1
boredom 1
boring 1
breaks 1
broth 1
building 1
but 1
cadaver 1
cold 1
despair 1
die 1
dog 2
exhausted 1
fetid 1
floating 1
floor 1
foaming 1
for 1
from 1
front 1
girl 1
got 1
halfruined 1
happens 1
her 5
huge 1
ice 1
in 5
it 1
juby 1
lands 1
lexi 2
like 1
lives 1
long 1
lost 1
missing 1
more 1
mother 2
mouth 1
of 2
plot 1
purest 1
rat 1
reaches 1
rotten 1
runs 1
searching 1
she 3
shed 1
soon 1
standing 1
suddenly 1
survive 1
than 1
that 1
the 8
there 1
thinks 1
through 1
to 1
tremendously 1
unfinished 1
very 1
village 1
was 2
water 1
weird 1
when 1
where 1
while 1
wild 1
will 1
with 1
wont 1
wood 1
young 1
