2108642
/m/06mp57
/m/06mp57
Yukio Mishima
1963
13yearold 1
a 8
acts 1
adult 1
an 1
and 5
anger 1
as 2
at 1
awaiting 1
away 1
band 1
begins 1
believe 1
bond 1
boys 1
by 1
called 1
chronicles 1
close 2
decides 1
deeply 1
die 1
draw 1
dreams 1
entire 1
especially 1
eventually 1
falls 1
fear 1
freedom 1
from 1
fusako 4
gang 1
has 1
hates 1
he 6
her 1
him 1
his 4
honor 1
hope 1
hypocritical 1
idea 1
illusory 1
in 3
into 1
is 3
let 1
life 1
loneliness 1
losing 1
love 1
man 1
marry 1
meets 1
mother 2
noboru 3
notions 1
novel 1
objectivity 1
of 7
part 1
performed 1
pursued 1
rejecting 1
ritual 1
ryuji 2
sailor 1
savage 2
sea 1
sentimental 1
shares 1
shore 1
son 2
special 1
story 1
terrible 1
the 7
this 1
through 1
to 4
torn 1
translates 1
ultimately 1
vague 1
voyeuristic 1
which 1
who 3
whom 1
with 3
woman 2
world 1
