30427958
/m/0g5qtmb
/m/0g5qtmb
Gary Taubes
2010-12
a 3
also 1
although 1
analyzing 1
and 2
anthropological 1
arguing 1
asserts 1
because 1
beliefs 1
body 4
book 1
brain 1
breaks 1
but 1
calories 2
can 1
carbohydrates 4
cells 1
clarifies 1
common 1
consumption 3
contends 1
diabetes 1
diet 3
dietary 1
discussing 1
down 1
drives 1
energy 1
entering 1
evidence 1
excess 1
fat 3
fuel 1
get 1
he 1
his 1
in 6
incorrect 1
instead 1
insulin 2
intake 1
is 2
its 1
ketosis 1
lead 1
leads 1
literature 1
lowcarbohydrate 1
model 1
modern 1
not 2
of 5
order 1
out 2
over 1
points 1
promotes 1
reducing 1
regarding 1
release 1
resistance 1
results 1
scientific 1
state 1
store 1
taubes 4
that 5
the 8
this 2
time 1
to 4
triglycerides 1
turn 1
we 1
were 1
which 1
why 1
