9921321
/m/02px2k5
/m/02px2k5
Ivan Turgenev
1860
{"/m/02xlf": "Fiction", "/m/01qxvh": "Romance novel"}
a 7
affected 1
again 1
an 1
and 3
around 1
berzeniev 2
bulgaria 1
bulgarian 2
but 3
by 1
call 1
complicates 1
crimean 1
dashing 1
dies 1
elena 6
eve 1
fall 1
falls 1
father 1
freespirited 1
friend 1
further 1
girl 1
guards 1
had 1
heard 1
her 2
home 1
hoped 1
ill 1
in 2
insarov 4
invites 1
ire 1
is 3
keeps 1
lieutenant 1
love 1
marry 1
marrying 1
matters 1
meets 1
mistress 1
more 1
mother 1
never 1
of 4
on 3
only 1
outbreak 1
parents 1
partly 1
pursued 1
recovers 1
respectable 1
retired 1
returns 1
revolutionary 1
revolves 1
sculptor 1
secretly 1
shubin 1
soon 1
story 1
student 1
suitor 1
the 8
they 1
to 3
uptight 1
venice 1
very 1
war 2
way 1
when 1
who 2
with 2
