8367010
/m/0270y9p
/m/0270y9p
Hilary Mantel
2005
{"/m/014dfn": "Speculative fiction", "/m/02xlf": "Fiction", "/m/05hgj": "Novel"}
a 5
able 1
afterlife 1
alison 2
along 1
and 5
around 1
assistantbusiness 1
audience 1
be 1
between 1
book 1
but 1
by 2
central 1
character 1
childhood 1
clients 1
colette 1
contact 1
counties 1
deeply 1
demons 1
end 1
exorcise 1
for 1
from 1
ghosts 1
happygolucky 1
hart 1
her 7
home 1
in 1
is 5
it 1
knowledge 1
like 1
mask 1
medium 1
memories 1
much 1
named 1
next 1
not 1
of 2
often 1
on 2
one 1
only 1
overcome 1
partnermanager 1
perceive 1
persona 1
place 1
point 1
providing 1
psychic 1
public 1
road 1
seems 1
she 3
show 1
spends 1
story 1
surface 1
takes 1
that 1
the 9
them 1
this 2
to 4
traumatised 1
travelling 1
truth 1
trying 1
ultimately 1
venues 1
wears 1
who 1
with 2
woman 2
wonderful 1
world 1
