5193582
/m/0d74sc
/m/0d74sc
Laura Wilson
2004-06-17
{"/m/0lsxr": "Crime Fiction"}
28year 1
a 6
airman 1
also 1
and 4
as 1
at 1
based 1
became 1
began 1
blackout 2
bombing 1
british 1
case 1
city 1
cummings 1
cummins 3
during 1
england 1
events 1
female 2
from 1
gordon 1
him 1
himself 1
ii 1
in 3
infatuated 1
is 2
killer 1
known 1
london 1
looks 1
lover 1
met 1
mutilating 1
novel 2
of 1
old 1
on 1
points 1
potential 1
prostitute 1
prostitutes 1
reallife 1
ripper 1
serial 1
set 1
son 1
strangling 1
subsequent 1
the 7
three 1
victim 1
view 1
war 1
who 2
with 2
woman 1
world 1
young 1
