759873
/m/0390v7
/m/0390v7
Alan Duff
1990
1 2
13yearold 1
16 1
18 1
2002 1
a 27
about 3
abusive 1
after 1
alcohol 1
alcoholic 1
also 3
amazed 1
an 3
and 36
anger 1
answer 1
anthropologist 1
any 2
anyone 1
are 4
as 9
at 5
attacks 1
attempts 2
autobiography 1
back 2
background 1
backgrounds 1
bar 1
based 1
beaten 1
beating 1
beats 1
become 1
becomes 1
bed 1
been 3
befriends 1
being 1
best 1
beth 5
between 1
block 1
boogie 2
book 4
books 4
borstal 3
both 1
boy 1
brings 1
broken 1
brutal 1
brutality 2
but 4
buying 1
by 7
car 1
cares 2
case 1
cast 1
celebrated 1
character 1
charity 1
childhood 1
children 2
clearly 1
community 1
concern 1
conflict 1
considers 1
contrast 2
craves 1
criminal 1
crowds 1
culture 2
dads 1
dares 1
daughter 2
day 1
describes 1
despises 1
despite 2
diary 3
disapproval 1
disconnected 1
disconnection 1
down 1
drew 1
drinking 3
drinks 1
drugaddicted 1
drunk 2
duff 5
duffy 1
during 1
easy 1
easygoing 1
editor 1
educated 1
education 1
either 1
elder 1
eldest 1
element 1
else 1
emotionally 1
encourages 1
escape 1
example 1
experiences 1
family 7
father 3
feeling 1
fiction 1
film 2
find 1
finds 3
flies 1
for 7
ford 1
form 1
found 1
founded 1
free 1
friend 3
friends 4
from 6
front 2
gang 4
general 1
generally 2
get 1
getting 1
girlfriend 1
gives 1
giving 1
glass 1
good 1
grace 6
grandfather 1
group 1
had 1
hangs 1
happened 1
has 6
have 4
he 13
head 1
hearted 1
heke 4
hekes 2
hence 1
her 15
heritage 1
hers 1
herself 2
highlighted 1
highly 1
him 3
himself 3
his 22
history 1
home 2
homeless 1
homes 1
hometown 1
house 1
housing 1
however 1
huge 1
identifies 1
in 26
including 1
influenced 1
initial 1
instructs 1
interest 1
interpretation 1
interpretations 1
into 5
invites 1
irresponsibility 1
irresponsible 1
is 15
it 2
jake 10
join 1
jukebox 1
knows 1
lack 1
lake 1
lakes 2
language 1
lapse 1
later 1
learning 2
leaves 1
left 1
liberal 1
life 3
line 1
lippy 1
literary 1
live 2
lives 3
living 1
local 1
long 1
love 1
loves 1
made 2
magazine 1
major 1
man 2
manager 1
mark 2
married 1
material 1
means 1
meanwhile 1
members 1
minor 1
mist 1
money 1
more 1
mori 6
most 2
mother 3
moves 1
movie 3
music 1
muss 2
name 1
named 1
nearby 1
neither 1
new 1
niche 1
nickname 1
nig 3
night 2
no 1
nor 1
not 3
of 24
offences 1
often 1
old 1
oliver 1
on 6
once 1
one 5
only 1
or 1
original 1
other 1
out 5
parents 2
park 1
parties 2
party 1
passage 1
paternal 1
patron 2
pattern 1
physically 1
pkeh 2
placed 1
poor 1
portrays 1
provide 1
pub 1
published 2
rage 1
raped 4
rapist 3
reading 1
reads 1
real 1
really 1
reason 1
received 1
reflects 2
reform 1
relates 1
relatives 2
remember 1
returned 1
reveals 1
revive 1
roger 1
roto 1
rotorua 1
rua 1
savagely 3
saving 1
says 1
school 1
second 1
sequel 2
setting 1
shadow 1
she 10
shown 1
shows 1
siblings 1
simply 1
since 1
singing 1
six 1
slum 1
small 1
smashing 1
some 2
sometimes 1
son 2
songs 1
sophisticated 1
spends 2
spent 2
spying 1
starts 2
state 1
steam 1
stepped 1
stories 1
street 1
strongly 1
subsequently 1
substitute 1
support 1
taken 1
teenager 1
temper 1
tested 1
that 3
the 49
their 5
there 1
they 1
thinks 1
third 1
this 4
though 1
thoughtless 1
time 3
to 14
too 3
toot 1
town 2
traditional 1
tries 1
trilogy 1
two 3
uncle 1
unemployed 1
unsuccessful 1
up 1
vicious 1
warriors 1
was 7
ways 2
wealth 1
wealthy 1
well 1
wellknown 1
were 3
western 1
what 3
when 4
where 1
which 6
while 3
who 8
whom 1
wife 1
wild 1
with 3
would 1
wrecked 1
writing 2
years 1
young 1
