2834215
/m/085pxz
/m/085pxz
Roger Zelazny
1966
{"/m/06n90": "Science Fiction"}
a 11
abiding 1
advice 1
afford 1
against 1
agrees 1
along 1
an 1
analyst 2
and 6
as 3
aspires 1
assert 1
at 1
attachments 1
be 1
become 1
begins 1
beneath 1
better 1
blindness 1
but 2
by 2
can 1
career 1
case 1
cases 1
charles 1
colleagues 1
comfort 1
congenital 1
construct 2
continues 1
controlled 2
convincingly 1
created 1
cured 1
desire 1
despite 1
destroyed 1
direct 1
directly 1
dream 1
dreams 2
dreamsnightmares 1
effectively 1
eileen 2
enable 1
environment 1
etcthat 1
example 1
experienced 1
explains 1
expose 1
eyeenvy 1
eyes 1
fantasy 1
field 1
for 4
forces 1
free 1
from 1
full 1
future 1
gigantic 1
go 1
grow 1
hampered 1
hands 1
have 1
having 1
he 1
her 11
herself 1
him 1
himself 1
his 3
hooked 1
however 1
humanity 1
hunger 1
if 1
in 10
indeed 1
innovations 1
insight 1
intervention 1
into 3
is 6
issue 1
it 2
its 1
leader 1
man 1
mass 1
master 1
might 1
mind 1
neuroparticipant 3
neuroparticipation 1
neuroses 1
neurotic 1
not 1
obsession 1
of 9
on 1
overpopulation 1
own 4
patient 4
patients 2
physical 1
possibility 1
practicing 1
prevent 1
problem 1
progress 1
protagonist 1
psychologically 1
psychotherapeutic 1
pursue 1
range 1
relative 1
render 6
ripe 1
same 1
see 1
sees 1
sensation 1
sense 1
set 1
shallot 1
she 3
simulation 1
some 1
somewhat 1
specializes 1
stimulation 1
stimuli 1
submerging 1
subsuming 1
such 1
suffocates 1
takes 1
technology 1
the 18
them 2
then 1
therapist 2
therapy 1
they 1
this 1
through 1
thus 1
to 12
treating 1
treatment 1
unable 1
underlying 1
unusual 1
utterly 1
visual 4
way 1
where 2
which 1
while 1
will 1
willing 1
wishfulfillment 1
with 5
work 1
works 1
world 3
would 1
