1672423
/m/05m8h5
/m/05m8h5
Aaron Allston

3po 1
a 19
aaron 1
able 1
absolutely 1
absorbing 1
acquainted 1
adumar 7
adumari 5
after 1
ago 1
agrees 1
aided 1
air 2
all 3
allston 2
along 1
also 3
an 3
and 28
announces 1
anomaly 1
anonymous 1
antilles 1
apparent 1
are 4
as 9
assist 1
assumes 1
at 1
author 1
backtalk 1
battle 1
be 1
becomes 1
been 2
begin 1
best 3
better 2
between 1
bitter 1
blade32 1
bowed 1
bragging 2
braving 1
bring 1
but 5
by 3
camera 1
cannot 1
capital 1
cartann 6
cartannese 4
celchu 1
certain 1
champion 1
characterizes 1
cheriss 3
childatheart 1
citizens 1
colonel 1
colonists 1
combined 2
compromise 1
confederacy 1
conflict 1
conquering 1
conquest 1
constant 1
contemplating 1
continues 1
create 1
culture 1
cut 1
darpen 2
defeated 1
defect 1
delighted 1
derek 1
devastating 1
diplomat 2
diplomatic 1
diplomats 1
disciplined 1
discovered 2
dispatched 1
documentarian 1
doesnt 1
domination 1
droid 1
during 1
each 2
eager 1
early 1
effort 2
empire 3
enter 1
escape 1
ever 1
expected 1
extraordinaire 1
fact 2
far 1
few 2
fighters 1
finest 1
firstly 1
flee 1
fleet 2
fly 1
for 6
force 2
forced 1
formation 1
former 1
four 1
fourthly 1
friends 1
future 1
gauntlet 1
general 2
government 3
guide 1
had 1
half 1
hallis 2
hammer 1
hanadi 1
hand 1
has 3
have 2
he 2
head 2
help 2
her 1
here 1
him 2
his 5
hobbie 2
honor 1
humour 1
ideals 1
iella 3
immediately 1
imperialism 1
imperials 1
imposing 1
in 4
indecisive 1
inmdashespecially 1
intelligence 1
intends 1
interceptors 1
into 1
irreverencies 1
is 13
isolated 1
it 7
its 2
janson 2
jock 1
join 1
joins 1
joking 1
ke 2
kill 2
killing 1
klivian 1
largest 2
lead 1
leader 1
leads 1
learning 1
least 1
led 1
like 2
little 1
lives 1
loss 1
love 1
major 2
man 1
manages 1
might 1
military 1
mobs 1
moment 1
monthsmdashdespite 1
more 1
nation 1
nations 3
native 2
negotiations 1
neutralize 1
new 10
newlyformed 1
no 2
not 3
note 1
noted 1
nothing 1
novel 1
now 2
occasional 1
of 13
often 1
old 1
on 4
one 1
oneliners 1
only 3
onplanet 1
operative 1
or 1
order 1
other 3
out 2
over 2
overthrow 1
past 1
pekaelic 2
perator 1
pessimist 1
pessimistic 1
phennir 4
pilot 2
pilots 3
planet 3
positive 1
presented 1
preserve 1
previously 1
problem 3
proposal 1
protocol 1
putting 1
quickly 1
rebellious 1
reclaim 1
red 2
refuses 1
relations 1
relationship 1
repel 1
republic 11
reputation 1
resist 1
right 1
rights 2
rogue 1
romantic 1
run 1
sacrifice 1
saper 2
second 1
secondly 1
seem 1
seems 2
send 1
settled 1
several 1
she 1
simply 1
since 2
six 1
smirking 1
snubfighter 1
so 2
somehow 1
spend 1
spends 1
squadron 3
straight 1
strength 1
strong 1
styles 1
supposedly 1
swordfighting 1
taciturn 1
take 1
talking 1
teldan 1
than 2
that 7
the 37
their 6
them 2
there 1
they 2
thirdly 1
this 1
three 2
through 1
thus 2
tide 1
tie 1
time 1
to 24
tomer 2
too 2
treaty 1
try 1
turned 1
turr 1
tycho 2
ultimately 1
under 1
unfortunately 1
union 2
united 2
unwilling 1
use 1
uses 1
via 1
wants 1
war 1
was 1
wears 1
wedge 17
weeks 1
well 1
wes 1
wessiri 1
when 1
which 1
who 1
whom 1
will 1
willingness 1
wingmen 2
with 14
woman 1
work 1
world 2
would 2
xwings 1
years 1
yedagon 1
ywing 1
