23507384
/m/06wbd62
/m/06wbd62
Bruce Marshall
1958
{"/m/05hgj": "Novel"}
a 5
affair 1
and 7
as 1
aspirations 1
at 2
attention 1
audit 2
audited 1
auditing 1
auditors 3
bank 2
be 1
being 1
believe 1
boring 1
branch 1
business 1
but 1
chance 1
conflicts 1
course 1
delves 1
different 1
discovery 1
do 1
each 3
embezzlement 1
few 1
for 1
fraud 2
have 1
hearts 1
his 2
how 1
indiscreet 1
into 1
is 4
junior 1
know 1
life 1
london 1
major 1
make 1
makes 1
many 1
may 1
minor 1
mostly 1
nightclub 1
normally 1
novel 2
of 8
officials 1
or 1
our 1
overheard 1
overseers 1
own 1
paris 2
play 1
player 1
prisoner 1
private 1
promotion 1
proving 1
reason 1
routine 1
scene 1
seeing 1
seemingly 1
senior 1
some 1
task 1
that 1
the 12
their 1
there 1
this 3
those 1
to 3
turned 1
underpaid 1
understandable 1
unhappy 1
wellknown 1
where 1
who 1
words 1
work 1
year 1
