613374
/m/02wlr4
/m/02wlr4
Rodman Philbrick

{"/m/06n90": "Science Fiction", "/m/014dfn": "Speculative fiction"}
14yearold 1
a 20
abandoned 1
about 1
accept 1
accompany 1
across 1
adopted 1
adoptive 1
adventures 1
all 2
along 3
among 1
an 2
analogous 1
anarchy 1
and 29
any 1
apples 1
are 5
area 1
arrive 1
arrives 1
arts 1
as 2
at 7
attacked 1
back 1
bangers 1
be 1
bean 9
beaten 1
beautiful 1
because 5
been 3
before 1
being 3
believes 1
beloved 1
best 1
better 2
big 1
billy 2
birth 1
bizmo 2
blamed 1
blue 1
book 4
boss 1
bosses 1
boy 1
boys 1
bred 1
broken 1
bully 1
burning 1
but 1
by 7
california 1
called 3
can 1
cant 1
cause 1
causing 1
charitably 1
chess 1
chox 1
city 2
come 1
continuing 1
contributors 3
controlled 1
convinces 1
could 1
cured 1
damage 1
deactivated 1
deactivation 1
death 1
decide 1
decides 1
denied 1
deposited 1
device 1
died 1
disturbed 1
do 1
does 1
doesnt 1
drugs 1
dying 3
dystopic 1
earthquake 1
eden 10
elders 3
enable 1
ends 1
enjoy 1
entire 1
epilepsy 2
epileptic 1
errands 2
escape 1
even 1
eventually 3
extremely 1
face 5
family 1
father 1
feared 1
find 3
finds 1
first 1
fish 1
fiveyearold 1
fix 1
food 2
for 2
forbidden 1
from 3
future 1
gang 3
genetic 1
genetically 1
getting 1
gives 1
grass 1
group 1
had 1
hard 1
harsh 1
has 5
having 3
he 4
heads 1
help 1
her 2
heroes 1
him 3
his 12
home 2
hospital 1
hostile 1
house 1
how 3
images 1
improved 1
in 12
is 20
it 3
joins 1
journey 2
killed 1
know 1
known 1
lanaya 9
large 1
last 2
latch 5
latchboss 1
latches 3
later 1
lead 1
leader 3
leads 1
learns 1
leukemia 1
like 1
literature 1
little 6
live 1
lives 2
lost 1
magnificent 1
man 1
meager 1
meets 1
message 1
mindprobes 5
minefield 1
mongo 1
monkey 1
mother 1
movies 1
much 1
name 1
naturally 1
next 1
no 1
not 1
novel 1
of 17
offering 1
on 4
one 3
only 1
or 1
orphan 1
other 4
out 2
outside 1
over 1
paradise 1
parents 1
pass 1
people 2
pipe 1
place 1
plagued 1
played 1
point 1
possesses 1
possessions 1
postdisaster 1
poverty 1
privileges 1
problems 1
proov 4
proovs 2
refuse 1
rescued 1
resistance 1
returned 1
reveals 1
rights 1
rioting 1
rob 1
rule 1
ruled 1
runs 1
ryter 14
says 1
school 1
secretly 1
section 1
sees 1
seizure 1
sending 1
sent 1
separating 1
set 1
shake 1
she 5
shooters 1
shown 1
sickness 2
situation 1
sky 1
smart 1
so 3
society 1
some 1
someone 1
soon 2
spaz 20
speak 1
special 1
start 1
starts 1
steal 1
stepsister 1
story 3
stream 1
such 1
surgery 1
symptoms 1
take 3
takes 1
talks 1
tek 1
tells 2
temporarily 1
than 1
that 11
the 48
their 3
theirs 1
them 2
they 8
thieves 1
things 1
this 1
though 1
through 3
throughout 2
thrown 1
time 2
to 17
towards 2
traveling 2
trendies 1
trio 1
unacceptable 1
understands 1
unfamiliar 1
universe 2
urb 6
use 4
users 1
using 2
various 1
very 2
warfare 1
was 1
water 2
way 3
wheeled 1
when 1
where 1
which 5
while 2
who 8
whose 1
with 4
word 1
work 1
writes 1
writing 1
zone 1
