22192000
/m/076z0h4
/m/076z0h4
Brandon Mull

a 5
agent 1
along 1
an 2
and 2
anonymous 1
any 1
as 1
at 2
before 2
being 1
betrayals 1
biggest 1
box 1
brave 1
brings 1
brother 1
burgess 1
but 1
by 1
called 1
captive 1
captor 1
challenges 1
closed 1
dangerous 2
dawn 1
death 2
demon 1
depressed 1
despair 1
devoured 1
dragon 3
eat 1
enter 1
escape 1
evening 2
evil 1
explained 1
fablehaven 1
forbidden 1
gavin 2
had 1
hear 1
held 1
help 1
her 2
him 1
his 1
home 1
human 1
identity 1
in 3
intends 1
interference 1
is 3
it 1
journal 1
kendra 5
key 2
keys 1
knapsack 1
knights 1
learns 1
lectoblix 2
location 1
meanwhile 1
more 1
most 1
must 2
navarog 1
news 1
occupant 1
of 12
on 1
one 1
order 2
original 1
out 1
patton 1
person 1
previously 1
prison 1
quiet 1
raxtus 1
reading 1
recover 1
retrieve 1
returns 1
revealed 1
sanctuary 1
secrets 1
seth 1
shocking 1
sister 1
society 2
sorenson 1
star 2
sucked 1
sudden 1
take 1
task 1
team 1
temple 1
than 1
that 2
the 20
their 1
to 10
torina 1
translocator 2
trap 1
true 1
undercover 1
uses 1
vault 1
victim 1
victims 1
was 1
which 1
with 2
wyrmroost 1
youth 1
